Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register,
208,Shri Chhedi Paswan ,24,0,
209,Shri Jagdambika Pal ,24,0,
210,Shri Dharambir Singh ,24,0,
211,Shri Vinod Sonkar ,12,12,
212,Shri C. P. Joshi ,24,0,
213,Shri Pradhan Baruah ,4,20,
214,Shri Ramesh Kaushik ,24,0,
215,Shri Jaswantsinh Bhabhor ,7,17,
216,Shri Mohanbhai Kundariya ,10,14,
217,Shri Sudhir Gupta ,20,4,
218,Ms. Pratima Bhoumik ,19,5,
219,Smt. Diya Kumari ,21,3,
220,Smt. Queen Oja ,12,12,
221,Smt. Gomati Sai ,22,2,
222,Smt. Annpurna Devi ,24,0,
223,Smt. Gitaben Rathva ,14,10,
224,Smt. Shardaben Patel ,22,2,
225,Smt. Sunita Duggal ,22,2,
226,Smt. Himadri Singh ,24,0,
227,Smt. Sandhya Ray ,21,3,
228,Dr. Bharti Pawar ,23,1,
229,Shri Devusinh Chauhan ,14,10,
230,Shri Dipsinh S. Rathod ,21,3,
231,Shri K. C. Patel ,14,10,
232,Shri Rajesh Chudasama ,8,16,
233,Shri Dharmendra Kashyap ,24,0,
234,Shri Harish Chandra alias Harish Dwivedi ,14,10,
235,Shri Lallu Singh ,24,0,
236,Shri Mukesh Rajput ,24,0,
237,Shri Pushpendra Singh Chandel ,22,2,
238,Shri Rajvir Diler ,23,1,
239,Shri Ravindra Kushwaha ,21,3,
240,Shri Ashok Rawat ,24,0,
241,Shri Arun Kumar Sagar ,24,0,
242,Shri Anurag Sharma ,22,2,
243,Shri Akshaibar Lal ,22,2,
244,Shri Gautam Gambhir ,14,10,
245,Shri Hans Raj Hans ,5,19,
246,Shri Soyam Babu Rao ,21,3,
247,Shri D. Arvind ,21,3,
248,Shri R.K. Singh Patel ,21,3,
249,Shri Shankar Lalwani ,21,3,
250,Shri Ramakant Bhargava ,20,4,
251,Shri Raj Bahadur Singh ,21,3,
252,Shri Mahendra Solanky ,24,0,
253,"Shri Krishna Pal Singh ""Dr. K.P. Yadav"" ",24,0,
254,Shri G.S. Damor ,22,2,
255,Shri Gajendra Patel ,11,13,
256,Shri Durga Das (D.D.) Uikey ,23,1,
257,Shri Chhatar Singh Darbar ,20,4,
258,Shri Vishnu Datt Sharma ,17,7,
259,Shri Anil Firojiya ,20,4,
260,Shri Vivek Shejwalkar ,24,0,
261,Shri Sunil Baburao Mendhe ,23,1,
262,Shri Sujay Vikhe Patil ,13,11,
263,Shri Sudhakar Tukaram Shrangare ,23,1,
264,Shri Ranjeetsinha H. Naiknimbalkar ,20,4,
265,Shri Prataprao Patil ,16,8,
266,Shri Manoj Kotak ,24,0,
267,Dr. Jai Siddeshwar Shivachary ,17,7,
268,Shri Girish Bapat ,20,4,
269,Shri Unmesh Patil ,22,2,
270,Shri Vijay Baghel ,17,7,
271,Shri Sunil Kumar Soni ,23,1,
272,Shri Pallab Lochan Das ,4,20,
273,Shri Topon Kumar Gogoi ,8,16,
274,Shri Rajdeep Roy ,10,14,
275,Shri Santosh Pandey ,24,0,
276,Smt. Harsimrat Kaur Badal ,17,7,
277,Shri Rajiv Ranjan Singh @ Lalan Singh ,24,0,
278,Shri Dinesh Chandra Yadav ,24,0,
279,Shri Vinayak Raut ,21,3,
280,Shri Arvind Sawant ,24,0,
281,Shri Rajiv Pratap Rudy ,24,0,
282,Shri Anant Hegde ,12,12,
283,Shri Kaushalendra Kumar ,24,0,
284,Shri Gajanan Kirtikar ,17,7,
285,Shri Chirag Paswan ,11,13,
286,Shri P.P. Chaudhary ,23,1,
287,Shri P. C. Mohan ,13,11,
288,Smt. Bhavana Gawali ,15,9,
289,Ms. Agatha K. Sangma ,24,0,
290,Smt. Anupriya Patel ,24,0,
291,Shri Mohan S. Delkar ,11,1,
292,Shri Tapir Gao ,22,2,
293,Shri Kaushal Kishore ,11,13,
294,Shri Parbhubhai Vasava ,10,14,
295,Shri Kamlesh Paswan ,17,7,
296,Shri Prince Raj ,19,5,
297,Shri Tokheho Yepthomi ,13,11,
298,Shri P. Ravindhranath ,9,15,
299,Shri Prataprao Jadhav ,20,4,
300,Shri C. Lalrosanga ,7,17,
301,Shri Hanuman Beniwal ,23,1,
302,Shri Pashupati Kumar Paras ,14,10,
303,Shri Chandra Prakash Choudhary ,14,10,
304,Shri Indra Hang Subba ,18,6,
305,Shri Giridhari Yadav ,16,8,
306,Shri Rajan Vichare ,15,9,
307,Shri Sanjay Jadhav ,18,6,
308,Shri Chandan Singh ,19,5,
309,Shri Rahul Shewale ,22,2,
310,Shri Shreerang Appa Chandu Barne ,24,0,
311,Dr. Shrikant Shinde ,12,12,
312,Shri Krupal Balaji Tumane ,20,4,
313,Shri Hemant Godse ,22,2,
314,Shri Sanjay Bhatia ,14,10,
315,Shri Mahabali Singh ,24,0,
316,Shri Santosh Kumar ,24,0,
317,Shri Dileshwar Kamait ,24,0,
318,Shri Lorho S. Pfoze ,18,6,
319,Shri Balak Nath ,14,10,
320,Shri Bhagirath Chaudhary ,24,0,
321,Shri Nitesh Ganga Deb ,24,0,
322,Shri Bishweswar Tudu ,21,3,
323,Shri Pakauri Lal Kaul ,16,8,
324,Smt. Kavita Singh ,20,4,
325,Shri Dulal Chandra Goswami ,22,2,
326,Shri Rajendra Gavit ,17,7,
327,Shri Sadashiv Lokhande ,19,5,
328,Shri Om Prakash B. alias Pawan Rajenimbalkar ,23,1,
329,Shri Brijendra Singh ,24,0,
330,Shri Mohan Mandavi ,24,0,
331,Shri Chunnilal Sahu ,24,0,
332,Shri Arun Sao ,24,0,
333,Shri Sanjay Seth ,24,0,
334,Shri Jamyang Tsering Namgyal ,22,2,
335,Shri Suresh Kashyap ,16,8,
336,Shri Alok Kumar Suman ,24,0,
337,Shri Ramprit Mandal ,19,5,
338,Shri Horen Sing Bey ,5,19,
340,Shri Ashok Kumar Yadav ,24,0,
341,Shri Gopal Ji Thakur ,24,0,
342,Shri Kishan Kapoor ,23,1,
344,Shri Nayab Singh ,15,9,
345,Shri Basanta Kumar Panda ,15,9,
346,Dr. Rajkumar Ranjan Singh ,24,0,
347,Shri Sunil Soren ,24,0,
348,Shri Suresh Pujari ,24,0,
349,Shri Sanjay Mandlik ,15,9,
350,Shri Sunil Kumar Pintu ,24,0,
351,Smt. Veena Devi ,24,0,
352,Shri Subrata Pathak ,17,7,
353,Shri Dilip Saikia ,9,15,
354,Shri Narendra Kumar ,24,0,
355,Shri Dhairyasheel S. Mane ,17,7,
356,Shri Chandeshwar Prasad ,24,0,
357,Shri Vijay Kumar Manjhi ,23,1,
358,Shri Ajay Kumar Mandal ,4,20,
359,Shri Hemant Patil ,17,7,
360,Shri Choudhary Mehboob Ali Kaiser ,23,1,
363,Shri Naba Kumar Sarania ,7,17,
364,Shri Imtiaz Jaleel Syed ,19,5,
365,Shri P.V. Midhun Reddy ,20,4,
366,Shri Sudip Bandyopadhyay ,3,21,
367,Shri Pinaki Misra ,24,0,
368,Shri Magunta Sreenivasulu Reddy ,17,7,
369,Shri Kalyan Banerjee ,3,21,
370,Shri Nama Nageswara Rao ,20,4,
371,Shri Ritesh Pandey ,23,1,
372,Shri Bhartruhari Mahtab ,21,3,
373,Shri Balashowry Vallabbhaneni ,18,6,
374,Prof. Saugata Roy ,16,8,
375,Shri Jayadev Galla ,20,4,
376,Shri Kotha Prabhakar Reddy ,11,13,
377,Shri Girish Chandra ,21,3,
378,Shri Chandra Sekhar Sahu ,13,11,
379,Shri Margani Bharat ,11,13,
380,Shri Abhishek Banerjee ,1,23,
381,Shri B. B. Patil ,19,5,
382,Shri Malook Nagar ,21,3,
383,Shri Achyutananda Samanta ,20,4,
384,Smt. Vanga Geetha Viswanath ,11,13,
385,Shri Kotagiri Sridhar ,7,17,
388,Shri K. Ram Mohan Naidu ,7,17,
389,Shri Pothuganti Ramulu ,19,5,
390,Shri Afzal Ansari ,21,3,
391,Shri Anubhav Mohanty ,24,0,
392,Shri Nandigam Suresh ,7,17,
393,Shri Adala Prabhakara Reddy ,12,12,
395,Smt. Satabdi Roy ,13,11,
396,Shri Dayakar Pasunoori ,16,8,
397,Shri Kesineni Srinivas ,20,4,
398,Shri Kunwar Danish Ali ,24,0,
399,Shri Ramesh Chandra Majhi ,17,7,
400,Shri Mahesh Sahoo ,6,18,
402,Shri N. Reddeppa ,23,1,
403,Shri Lavu Sri Krishna Devarayalu ,18,6,
404,Shri Prasun Banerjee ,8,16,
405,Smt. Pratima Mondal ,12,12,
406,Smt. Sajda Ahmed ,4,20,
407,Smt. Kavitha Malothu ,13,11,
408,Smt. Sangeeta Azad ,23,1,
409,Smt. Rajashree Mallick ,15,9,
410,Dr. Beesetti Venkata Satyavathi ,18,6,
411,Ms. Goddeti Madhavi ,23,1,
412,Smt. Chinta Anuradha ,21,3,
413,Shri P.R. Natarajan ,12,12,
414,Adv. A. M. Ariff ,14,10,
415,Shri Sunil Kumar Mondal ,10,14,
416,Smt. Aparupa Poddar (Afrin Ali) ,6,18,
417,Shri Dibyendu Adhikari ,1,23,
418,Shri Manne Srinivas Reddy ,18,6,
419,Shri Shyam Singh Yadav ,24,0,
420,Smt. Manjulata Mandal ,16,8,
421,Shri Bellana Chandra Sekhar ,6,18,
422,Shri Y. S. Avinash Reddy ,3,21,
423,Shri Subbarayan K. ,9,15,
424,Shri Venkatesan S. ,14,10,
426,Shri Deepak Adhikari ,3,21,
427,Dr. G. Ranjith Reddy ,19,5,
428,Shri Haji Fazlur Rehman ,13,11,
429,Shri Shiromani Ram ,23,1,
430,Smt. Pramila Bisoyi ,9,15,
431,Ms. Chandrani Murmu ,18,6,
432,Shri Talari Rangaiah ,13,11,
433,Dr. Ayushman Doctor Sanjeev Kumar ,18,6,
434,Shri Kuruva Gorantla Madhav ,11,13,
435,Shri Selvaraj M. ,11,13,
436,Km. Mimi Chakraborty ,5,19,
437,Smt. Nusrat Jahan Ruhi ,3,21,
438,Ms. Mahua Moitra ,13,11,
439,Shri Bhagwant Mann ,13,11,
440,Shri Venkatesh Netha Borlakunta ,15,9,
442,Smt. Sarmistha Sethi ,15,9,
443,Shri Pocha Brahmananda Reddy ,12,12,
444,Shri M V V Satyanarayana ,12,12,
445,Shri Kanumuru Raghu Ramakrishna Raju ,23,1,
447,Shri Khalilur Rahaman ,2,22,
448,Shri Asit Kumar Mal ,1,23,
449,Dr. T. R. Paarivendhar ,8,16,
450,Shri T.R.V.S. Ramesh ,8,16,
451,Shri S. Ramalingam ,6,18,
452,Dr. M.K. Vishnu Prasad ,11,13,
453,Adv. Dean Kuriakose ,11,13,
454,Shri T. R. Baalu ,14,10,
455,Shri Mulayam Singh Yadav ,7,17,
456,Shri Farooq Abdullah ,19,5,
458,Shri Adhir Ranjan Chowdhury ,14,10,
460,Shri Akhilesh Yadav ,8,16,
461,Smt. K. Kanimozhi ,5,19,
462,Smt. Supriya Sule ,23,1,
463,Shri E. T. Mohammed Basheer ,21,3,
463,Shri P.K. Kunhalikutty ,2,2,
465,Shri Kodikunnil Suresh ,15,9,
466,Shri Rahul Gandhi ,13,11,
467,Shri K. Muraleedharan ,7,17,
468,Dr. Shashi Tharoor ,20,4,
469,Shri Dayanidhi Maran ,15,9,
470,Shri S. Jagathrakshakan ,3,21,
471,Shri Francisco Sardinha ,23,1,
472,Shri S.S. Palanimanickam ,5,19,
473,Smt. Preneet Kaur ,22,2,
474,Shri N.K. Premachandran ,13,11,
475,Shri Asaduddin Owaisi ,15,9,
476,Shri Vijay Kumar Hansdak ,19,5,
477,Shri Shriniwas Dadasaheb Patil ,16,8,
478,Shri M. K. Raghavan ,9,15,
479,Shri Anto Antony ,11,13,
480,Shri Thirumaavalavan Thol ,11,13,
482,Shri Ravneet Singh Bittu ,22,2,
483,Shri Gaurav Gogoi ,4,20,
484,Shri Badruddin Ajmal ,1,23,
485,Shri D K Suresh ,16,8,
486,Shri Sunil Tatkare Dattatray ,21,3,
487,Shri K Sudhakaran ,2,22,
488,Shri Thomas Chazhikadan ,15,9,
489,Shri Vaithilingam Ve. ,3,21,
490,Shri Manish Tiwari ,23,1,
491,Shri Uttam Kumar Reddy Nalamada ,15,9,
492,Shri Manickam Tagore ,15,9,
493,Shri Su. Thirunavukkarasar ,9,15,
494,Shri Gurjeet Singh Aujla ,22,2,
495,Shri Vincent H Pala ,20,4,
496,Shri Ganeshamurthi A. ,7,17,
497,Shri Santokh Singh Chaudhary ,16,8,
498,Shri Saptagiri Ulaka ,23,1,
499,Shri Mohammad Akbar Lone ,13,11,
500,Shri Amar Singh ,19,5,
501,Dr. Kalanidhi Veeraswamy ,14,10,
502,Shri Mohammed Faizal P.P. ,23,1,
503,Shri Prajwal Revanna ,17,7,
504,Shri Behanan Benny ,8,16,
505,Shri Kuldeep Rai Sharma ,21,3,
506,Dr. Mohammad Jawed ,24,0,
507,Shri Pradyut Bordoloi ,2,22,
508,Shri C.N. Annadurai ,5,19,
509,Dr. Amol Ramsing Kolhe ,15,9,
511,Shri Hibi Eden ,11,13,
512,Smt. Jyotsna Charandas Mahant ,20,4,
513,Shri G. Selvam ,10,14,
515,Shri Deepak Baij ,23,1,
516,Shri Abdul Khaleque ,8,16,
517,Shri Nakul K. Nath ,18,6,
518,Dr. T. Sumathy (A) Thamizhachi Thangapandian ,13,11,
519,Adv. Adoor Prakash ,14,10,
520,Shri V.K. Sreekandan ,12,12,
521,Dr. A. Chellakumar ,8,16,
522,Shri Balubhau @ Suresh Narayan Dhanorkar ,13,11,
523,Dr. Gautham Sigamani Pon ,10,14,
524,Shri Rajmohan Unnithan ,14,10,
525,Shri Shafiqur Rehman Barq ,24,0,
526,Shri K. Navaskani ,21,3,
528,Shri T.N. Prathapan ,9,15,
529,Dr. K. Jayakumar ,10,14,
530,Shri Anumula Revanth Reddy ,14,10,
531,Ms. S. Jothimani ,12,12,
532,Shri D. M. Kathir Anand ,8,16,
534,Dr. S.T. Hasan ,23,1,
535,Ms. Ramya Haridas ,5,19,
536,Smt. Geeta Kora ,15,9,
537,Dr. DNV Senthilkumar. S. ,23,1,
538,Shri Hasnain Masoodi ,22,2,
539,Shri S. Gnanathiraviam ,7,17,
540,Shri Dhanush M Kumar ,23,1,
541,Shri Mohammad Sadique ,12,12,
542,Shri Karti P. Chidambaram ,12,12,
543,Shri Komati Reddy Venkat Reddy ,13,11,
544,Shri Ravikumar D. ,11,13,
545,Shri S.R. Parthiban ,12,12,
546,Shri A.K.P. Chinraj ,12,12,
548,Shri Jasbir Singh Gill ,22,2,
549,Shri K. Shanmuga Sundaram ,11,13,
550,Shri P. Velusamy ,7,17,
551,Shri Sunil Kumar ,24,0,
