Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register,
15,Dr. Jitendra Singh ,6,18,
20,Shri Faggan Singh Kulaste ,1,23,
22,Dr. Sanjay Jaiswal ,17,7,
30,Shri G. Kishan Reddy ,1,23,
31,Shri Rakesh Singh ,23,1,
32,Shri Nishikant Dubey ,15,9,
33,Shri Ganesh Singh ,23,1,
34,Dr. Kirit Solanki ,19,5,
35,Shri Uday Pratap Singh ,21,3,
37,Shri Rameswar Teli ,10,14,
40,Dr. Satya Pal Singh ,24,0,
41,Dr. Mahesh Sharma ,23,1,
42,Shri Rajendra Agrawal ,24,0,
43,Dr. Ram Shankar Katheria ,21,3,
44,Shri Naranbhai Kachhadiya ,12,12,
45,Shri C. R. Patil ,8,16,
46,Shri Lalubhai Patel ,22,2,
47,Shri Shivkumar Udasi ,22,2,
48,Shri Varun Gandhi ,23,1,
49,Shri Nalin Kateel ,21,3,
50,Shri Devji Patel ,12,12,
51,Shri Ajay Tamta ,23,1,
52,Shri Sudarshan Bhagat ,24,0,
53,Shri Rajyavardhan Singh Rathore ,21,3,
54,Shri Jayant Sinha ,22,2,
55,Shri Vishnu Dayal Ram ,19,5,
56,Shri Bhagwant Kubha ,22,2,
57,Shri B. Y. Raghavendra ,12,12,
58,Shri Pratap Simha ,24,0,
59,Shri Subhash Baheria ,24,0,
60,Shri Sunil Kumar Singh ,24,0,
61,Shri Jugal Kishore ,20,4,
62,Shri Ram Swaroop Sharma ,17,1,
63,Shri Bidyut Mahato ,24,0,
64,Shri Vinodbhai Chavda ,9,15,
65,Shri Karadi Sanganna Amarappa ,21,3,
66,Shri Janardan Mishra ,23,1,
67,Shri Rodmal Nagar ,24,0,
68,Shri Ashok Nete ,23,1,
69,Shri Ramdas C. Tadas ,21,3,
70,Shri Sanjay Kaka Patil ,12,12,
71,Shri Kapil Patil ,24,0,
72,Shri Janardan Singh Sigriwal ,24,0,
73,Shri Saumitra Khan ,7,17,
74,Shri Satish Kumar Gautam ,20,4,
75,Shri Guharam Ajgalley ,23,1,
76,Shri Ajay Bhatt ,23,1,
77,Shri Tirath Singh Rawat ,14,10,
78,Shri Ramesh Bidhuri ,17,7,
79,Shri Manoj Tiwari ,17,7,
80,Shri Parvesh Verma ,20,4,
81,Shri Tejasvi Surya ,16,8,
82,Shri Ramesh Dhaduk ,21,3,
83,Shri Parbatbhai Patel ,20,4,
84,Shri Mitesh Patel (Bakabhai) ,15,9,
85,Dr. Mahendrabhai Munjapara ,22,2,
86,Shri Hasmukhbhai S. Patel ,21,3,
87,Shri Bharatsinh Dabhi ,20,4,
88,Dr. Umesh Jadhav ,24,0,
89,Shri S. Muniswamy ,14,10,
90,Shri Raja Amreshwara Naik ,12,12,
91,Shri Y. Devendrappa ,22,2,
92,Shri B. N. Bache Gowda ,9,15,
93,Shri Annasaheb Jolle ,22,2,
94,Shri A. Narayanaswamy ,10,14,
95,Shri Ratan Rathod ,19,5,
96,Dr. Subhas Sarkar ,6,18,
97,Shri Shantanu Thakur ,5,19,
100,Smt. Maneka Sanjay Gandhi ,22,2,
101,Shri Sukhbir Singh Badal ,1,23,
102,Dr. Virendra Kumar ,24,0,
103,Shri Brijbhushan Sharan Singh ,23,1,
107,Shri Radha Mohan Singh ,14,10,
108,Smt. Hema Malini ,14,10,
109,Shri Mansukhbhai Vasava ,9,15,
110,Shri Srinivas Prasad ,6,18,
111,Shri Sakshi Maharaj ,24,0,
112,Shri Pankaj Choudhary ,21,3,
113,Shri S.S. Ahluwalia ,9,15,
114,Shri Virendra Singh ,22,2,
115,Shri Arvind Sharma ,9,15,
116,Shri P. C. Gaddigoudar ,24,0,
117,Shri Dushyant Singh ,17,7,
118,Shri Rajesh Verma ,23,1,
119,Shri Kirti Vardhan Singh ,21,3,
120,Shri Sushil Kumar Singh ,23,1,
121,Smt. Darshana Vikram Jardosh ,16,8,
122,Smt. Mala Rajya Laxmi Shah ,23,1,
123,Smt. Jaskaur Meena ,24,0,
124,Km. Shobha Karandlaje ,23,1,
125,Smt. Meenakashi Lekhi ,24,0,
126,Smt. Poonamben Maadam ,10,14,
127,Smt. Rita Bahuguna Joshi ,23,1,
129,Smt. Ranjanben Bhatt ,10,14,
130,Smt. Rekha Verma ,22,2,
131,Dr. Bharatiben Shyal ,17,7,
132,Dr. (Smt.) Pritam Gopinath Munde ,21,3,
133,Dr. Heena Gavit ,19,5,
134,Smt. Riti Pathak ,21,3,
135,Smt. Navnit Ravi Rana ,19,5,
136,Smt. Raksha Khadse ,18,6,
137,Smt. Aparajita Sarangi ,24,0,
138,Smt. Sumalatha Ambareesh ,16,8,
139,Ms. Locket Chatterjee ,13,11,
140,Smt. Keshari Patel ,23,1,
141,Smt. Ranjeeta Koli ,24,0,
142,Dr. Sanghamitra Maurya ,23,1,
143,Shri Sumedhanand Saraswati ,24,0,
144,Shri Ajay Nishad ,23,1,
145,Shri Pradeep Kumar Singh ,24,0,
146,Shri Gopal Shetty ,12,12,
147,Shri Ramapati Ram Tripathi ,24,0,
148,Shri Subhash Bhamre ,18,6,
149,Shri Dilip Ghosh ,5,19,
150,Shri Kanakmal Katara ,22,2,
151,Shri Rajveer Singh (Raju Bhaiya) ,22,2,
152,Dr. Manoj Rajoria ,24,0,
153,Shri Rahul Kaswan ,24,0,
154,Shri Ramcharan Bohra ,24,0,
155,Shri Sukhbir Singh Jaunpuria ,24,0,
156,Shri Sunny Deol ,9,15,
157,Shri Bhola Singh ,24,0,
158,Shri Devendra Bhole ,20,4,
159,Shri Ajay Kumar ,24,0,
160,Shri Arjun Lal Meena ,24,0,
161,Dr. Chandrasen Jadon ,24,0,
162,Shri Jyotirmay Singh Mahato ,2,22,
163,Shri Nisith Pramanik ,3,21,
164,Shri John Barla ,8,16,
165,Dr. Jayanta Kumar Roy ,9,15,
166,Dr. Sukanta Majumdar ,3,21,
167,Shri Jagannath Sarkar ,17,7,
168,Shri Arjun Singh ,6,18,
169,Shri Kunar Hembram ,9,15,
170,Shri Dhal Singh Bisen ,23,1,
171,Shri Raju Bista ,15,9,
172,Shri Khagen Murmu ,13,11,
173,Shri Ravindra Shyamnarayan Shukla alias Ravi Kishan ,14,10,
174,Shri Vijay Kumar Dubey ,20,4,
175,Shri Bholanath (B.P. Saroj) ,24,0,
176,Shri Upendra Rawat ,24,0,
177,Shri Satyadev Pachauri ,24,0,
178,Shri Sangam Lal Gupta ,22,2,
179,Shri Ramesh Chand ,22,2,
180,Shri Rebati Tripura ,16,8,
181,Shri Bandi Sanjay Kumar ,15,9,
182,Shri Rajkumar Chahar ,22,2,
183,Shri Praveen Nishad ,23,1,
184,Shri Pradeep Kumar ,23,1,
185,Shri Jai Prakash Rawat ,18,6,
186,Sadhvi Pragya Singh Thakur ,10,14,
195,Smt. Sangeeta Singh Deo ,23,1,
196,Smt. Poonam Mahajan ,22,2,
197,Shri Ram Kripal Yadav ,24,0,
198,Shri Jual Oram ,22,2,
199,Prof. S.P. Singh Baghel ,24,0,
200,Shri Ramesh Jigajinagi ,15,9,
201,Shri Bhanu Pratap Singh Verma ,23,1,
203,Smt. Rama Devi ,24,0,
204,Shri G.M. Siddeshwara ,17,7,
205,Shri Nihal Chand ,22,2,
206,Shri Pashupati Nath Singh ,12,12,
207,Shri G. S. Basavaraj ,20,4,
