Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register,
15,Dr. Jitendra Singh ,5,5,
22,Dr. Sanjay Jaiswal ,3,7,
30,Shri G. Kishan Reddy ,1,9,
31,Shri Rakesh Singh ,10,0,
32,Shri Nishikant Dubey ,10,0,
33,Shri Ganesh Singh ,5,5,
34,Dr. Kirit Solanki ,9,1,
35,Shri Uday Pratap Singh ,8,2,
37,Shri Rameswar Teli ,10,0,
38,Shri Som Parkash ,1,9,
39,Shri Pratap Chandra Sarangi ,1,9,
40,Dr. Satya Pal Singh ,3,7,
41,Dr. Mahesh Sharma ,10,0,
42,Shri Rajendra Agrawal ,10,0,
43,Dr. Ram Shankar Katheria ,1,9,
44,Shri Naranbhai Kachhadiya ,10,0,
46,Shri Lalubhai Patel ,10,0,
47,Shri Shivkumar Udasi ,10,0,
48,Shri Varun Gandhi ,9,1,
50,Shri Devji Patel ,10,0,
51,Shri Ajay Tamta ,10,0,
52,Shri Sudarshan Bhagat ,10,0,
53,Shri Rajyavardhan Singh Rathore ,10,0,
54,Shri Jayant Sinha ,10,0,
55,Shri Vishnu Dayal Ram ,10,0,
56,Shri Bhagwant Kubha ,10,0,
57,Shri B. Y. Raghavendra ,10,0,
58,Shri Pratap Simha ,10,0,
59,Shri Subhash Baheria ,10,0,
60,Shri Sunil Kumar Singh ,10,0,
61,Shri Jugal Kishore ,1,9,
62,Shri Ram Swaroop Sharma ,10,0,
64,Shri Vinodbhai Chavda ,10,0,
65,Shri Karadi Sanganna Amarappa ,10,0,
66,Shri Janardan Mishra ,10,0,
68,Shri Ashok Nete ,7,3,
69,Shri Ramdas C. Tadas ,9,1,
71,Shri Kapil Patil ,10,0,
73,Shri Saumitra Khan ,2,8,
74,Shri Satish Kumar Gautam ,10,0,
75,Shri Guharam Ajgalley ,10,0,
76,Shri Ajay Bhatt ,10,0,
77,Shri Tirath Singh Rawat ,10,0,
78,Shri Ramesh Bidhuri ,10,0,
79,Shri Manoj Tiwari ,10,0,
80,Shri Parvesh Verma ,5,5,
81,Shri Tejasvi Surya ,9,1,
82,Shri Ramesh Dhaduk ,10,0,
83,Shri Parbatbhai Patel ,9,1,
84,Shri Mitesh Patel (Bakabhai) ,10,0,
85,Dr. Mahendrabhai Munjapara ,10,0,
87,Shri Bharatsinh Dabhi ,10,0,
88,Dr. Umesh Jadhav ,10,0,
89,Shri S. Muniswamy ,10,0,
90,Shri Raja Amreshwara Naik ,10,0,
91,Shri Y. Devendrappa ,10,0,
93,Shri Annasaheb Jolle ,7,3,
94,Shri A. Narayanaswamy ,8,2,
95,Shri Ratan Rathod ,9,1,
96,Dr. Subhas Sarkar ,10,0,
97,Shri Shantanu Thakur ,10,0,
100,Smt. Maneka Sanjay Gandhi ,10,0,
101,Shri Sukhbir Singh Badal ,3,7,
102,Dr. Virendra Kumar ,10,0,
103,Shri Brijbhushan Sharan Singh ,10,0,
107,Shri Radha Mohan Singh ,5,5,
109,Shri Mansukhbhai Vasava ,7,3,
111,Shri Sakshi Maharaj ,10,0,
112,Shri Pankaj Choudhary ,10,0,
114,Shri Virendra Singh ,10,0,
115,Shri Arvind Sharma ,8,2,
116,Shri P. C. Gaddigoudar ,10,0,
117,Shri Dushyant Singh ,10,0,
118,Shri Rajesh Verma ,10,0,
119,Shri Kirti Vardhan Singh ,10,0,
120,Shri Sushil Kumar Singh ,10,0,
121,Smt. Darshana Vikram Jardosh ,10,0,
122,Smt. Mala Rajya Laxmi Shah ,10,0,
123,Smt. Jaskaur Meena ,10,0,
124,Km. Shobha Karandlaje ,10,0,
126,Smt. Poonamben Maadam ,10,0,
129,Smt. Ranjanben Bhatt ,10,0,
130,Smt. Rekha Verma ,10,0,
131,Dr. Bharatiben Shyal ,3,7,
132,Dr. (Smt.) Pritam Gopinath Munde ,9,1,
133,Dr. Heena Gavit ,10,0,
134,Smt. Riti Pathak ,10,0,
135,Smt. Navnit Ravi Rana ,10,0,
136,Smt. Raksha Khadse ,10,0,
137,Smt. Aparajita Sarangi ,10,0,
138,Smt. Sumalatha Ambareesh ,9,1,
139,Ms. Locket Chatterjee ,10,0,
140,Smt. Keshari Patel ,10,0,
141,Smt. Ranjeeta Koli ,10,0,
142,Dr. Sanghamitra Maurya ,10,0,
143,Shri Sumedhanand Saraswati ,10,0,
144,Shri Ajay Nishad ,10,0,
145,Shri Pradeep Kumar Singh ,10,0,
146,Shri Gopal Shetty ,10,0,
147,Shri Ramapati Ram Tripathi ,10,0,
148,Shri Subhash Bhamre ,10,0,
149,Shri Dilip Ghosh ,10,0,
150,Shri Kanakmal Katara ,10,0,
151,Shri Rajveer Singh (Raju Bhaiya) ,10,0,
152,Dr. Manoj Rajoria ,10,0,
153,Shri Rahul Kaswan ,10,0,
154,Shri Ramcharan Bohra ,10,0,
156,Shri Sunny Deol ,3,7,
157,Shri Bhola Singh ,10,0,
158,Shri Devendra Bhole ,10,0,
159,Shri Ajay Kumar ,9,1,
160,Shri Arjun Lal Meena ,10,0,
161,Dr. Chandrasen Jadon ,10,0,
162,Shri Jyotirmay Singh Mahato ,10,0,
163,Shri Nisith Pramanik ,10,0,
164,Shri John Barla ,10,0,
167,Shri Jagannath Sarkar ,7,3,
168,Shri Arjun Singh ,10,0,
169,Shri Kunar Hembram ,10,0,
170,Shri Dhal Singh Bisen ,10,0,
171,Shri Raju Bista ,10,0,
172,Shri Khagen Murmu ,10,0,
173,Shri Ravindra Shyamnarayan Shukla alias Ravi Kishan ,9,1,
174,Shri Vijay Kumar Dubey ,7,3,
175,Shri Bholanath (B.P. Saroj) ,10,0,
176,Shri Upendra Rawat ,10,0,
177,Shri Satyadev Pachauri ,9,1,
178,Shri Sangam Lal Gupta ,10,0,
179,Shri Ramesh Chand ,10,0,
180,Shri Rebati Tripura ,10,0,
182,Shri Rajkumar Chahar ,6,4,
183,Shri Praveen Nishad ,8,2,
184,Shri Pradeep Kumar ,10,0,
185,Shri Jai Prakash Rawat ,6,4,
186,Sadhvi Pragya Singh Thakur ,10,0,
195,Smt. Sangeeta Singh Deo ,10,0,
