Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register,
15,Dr. Jitendra Singh ,23,0,
22,Dr. Sanjay Jaiswal ,22,1,
31,Shri Rakesh Singh ,17,6,
32,Shri Nishikant Dubey ,23,0,
33,Shri Ganesh Singh ,19,4,
34,Dr. Kirit Solanki ,20,3,
35,Shri Uday Pratap Singh ,22,1,
37,Shri Rameswar Teli ,20,3,
40,Dr. Satya Pal Singh ,23,0,
41,Dr. Mahesh Sharma ,17,6,
42,Shri Rajendra Agrawal ,22,1,
43,Dr. Ram Shankar Katheria ,20,3,
44,Shri Naranbhai Kachhadiya ,23,0,
45,Shri C. R. Patil ,23,0,
46,Shri Lalubhai Patel ,20,3,
47,Shri Shivkumar Udasi ,23,0,
48,Shri Varun Gandhi ,22,1,
49,Shri Nalin Kateel ,21,2,
50,Shri Devji Patel ,17,6,
51,Shri Ajay Tamta ,23,0,
52,Shri Sudarshan Bhagat ,23,0,
53,Shri Rajyavardhan Singh Rathore ,17,6,
54,Shri Jayant Sinha ,22,1,
55,Shri Vishnu Dayal Ram ,22,1,
56,Shri Bhagwant Kubha ,17,6,
57,Shri B. Y. Raghavendra ,14,9,
58,Shri Pratap Simha ,23,0,
59,Shri Subhash Baheria ,23,0,
60,Shri Sunil Kumar Singh ,22,1,
61,Shri Jugal Kishore ,23,0,
62,Shri Ram Swaroop Sharma ,23,0,
63,Shri Bidyut Mahato ,23,0,
64,Shri Vinodbhai Chavda ,18,5,
65,Shri Karadi Sanganna Amarappa ,19,4,
66,Shri Janardan Mishra ,21,2,
67,Shri Rodmal Nagar ,21,2,
68,Shri Ashok Nete ,22,1,
69,Shri Ramdas C. Tadas ,19,4,
70,Shri Sanjay Kaka Patil ,6,17,
71,Shri Kapil Patil ,22,1,
72,Shri Janardan Singh Sigriwal ,23,0,
73,Shri Saumitra Khan ,19,4,
74,Shri Satish Kumar Gautam ,23,0,
75,Shri Guharam Ajgalley ,23,0,
76,Shri Ajay Bhatt ,23,0,
77,Shri Tirath Singh Rawat ,23,0,
78,Shri Ramesh Bidhuri ,21,2,
79,Shri Manoj Tiwari ,13,10,
80,Shri Parvesh Verma ,23,0,
81,Shri Tejasvi Surya ,23,0,
82,Shri Ramesh Dhaduk ,13,10,
83,Shri Parbatbhai Patel ,22,1,
84,Shri Mitesh Patel (Bakabhai) ,23,0,
85,Dr. Mahendrabhai Munjapara ,23,0,
86,Shri Hasmukhbhai S. Patel ,23,0,
87,Shri Bharatsinh Dabhi ,15,8,
88,Dr. Umesh Jadhav ,20,3,
89,Shri S. Muniswamy ,22,1,
90,Shri Raja Amreshwara Naik ,13,10,
91,Shri Y. Devendrappa ,16,7,
92,Shri B. N. Bache Gowda ,7,16,
93,Shri Annasaheb Jolle ,22,1,
94,Shri A. Narayanaswamy ,12,11,
95,Shri Ratan Rathod ,23,0,
96,Dr. Subhas Sarkar ,22,1,
97,Shri Shantanu Thakur ,15,8,
100,Smt. Maneka Sanjay Gandhi ,19,4,
101,Shri Sukhbir Singh Badal ,5,18,
102,Dr. Virendra Kumar ,23,0,
103,Shri Brijbhushan Sharan Singh ,23,0,
107,Shri Radha Mohan Singh ,23,0,
108,Smt. Hema Malini ,17,6,
109,Shri Mansukhbhai Vasava ,22,1,
110,Shri Srinivas Prasad ,9,14,
111,Shri Sakshi Maharaj ,23,0,
112,Shri Pankaj Choudhary ,20,3,
113,Shri S.S. Ahluwalia ,20,3,
114,Shri Virendra Singh ,21,2,
115,Shri Arvind Sharma ,18,5,
116,Shri P. C. Gaddigoudar ,23,0,
117,Shri Dushyant Singh ,20,3,
118,Shri Rajesh Verma ,22,1,
119,Shri Kirti Vardhan Singh ,12,11,
120,Shri Sushil Kumar Singh ,22,1,
121,Smt. Darshana Vikram Jardosh ,22,1,
122,Smt. Mala Rajya Laxmi Shah ,21,2,
123,Smt. Jaskaur Meena ,22,1,
124,Km. Shobha Karandlaje ,23,0,
125,Smt. Meenakashi Lekhi ,23,0,
126,Smt. Poonamben Maadam ,22,1,
127,Smt. Rita Bahuguna Joshi ,21,2,
128,Smt. Kirron Kher ,21,2,
129,Smt. Ranjanben Bhatt ,21,2,
130,Smt. Rekha Verma ,22,1,
131,Dr. Bharatiben Shyal ,23,0,
132,Dr. (Smt.) Pritam Gopinath Munde ,20,3,
133,Dr. Heena Gavit ,23,0,
134,Smt. Riti Pathak ,23,0,
135,Smt. Navnit Ravi Rana ,17,6,
136,Smt. Raksha Khadse ,18,5,
137,Smt. Aparajita Sarangi ,23,0,
138,Smt. Sumalatha Ambareesh ,18,5,
139,Ms. Locket Chatterjee ,23,0,
140,Smt. Keshari Patel ,20,3,
141,Smt. Ranjeeta Koli ,16,7,
142,Dr. Sanghamitra Maurya ,23,0,
143,Shri Sumedhanand Saraswati ,21,2,
144,Shri Ajay Nishad ,23,0,
145,Shri Pradeep Kumar Singh ,23,0,
146,Shri Gopal Shetty ,23,0,
147,Shri Ramapati Ram Tripathi ,22,1,
148,Shri Subhash Bhamre ,22,1,
149,Shri Dilip Ghosh ,20,3,
150,Shri Kanakmal Katara ,23,0,
151,Shri Rajveer Singh (Raju Bhaiya) ,22,1,
152,Dr. Manoj Rajoria ,23,0,
153,Shri Rahul Kaswan ,23,0,
154,Shri Ramcharan Bohra ,23,0,
155,Shri Sukhbir Singh Jaunpuria ,22,1,
156,Shri Sunny Deol ,3,20,
157,Shri Bhola Singh ,22,1,
158,Shri Devendra Bhole ,20,3,
159,Shri Ajay Kumar ,23,0,
160,Shri Arjun Lal Meena ,23,0,
161,Dr. Chandrasen Jadon ,23,0,
162,Shri Jyotirmay Singh Mahato ,21,2,
163,Shri Nisith Pramanik ,21,2,
164,Shri John Barla ,21,2,
165,Dr. Jayanta Kumar Roy ,22,1,
166,Dr. Sukanta Majumdar ,23,0,
167,Shri Jagannath Sarkar ,23,0,
168,Shri Arjun Singh ,23,0,
169,Shri Kunar Hembram ,23,0,
170,Shri Dhal Singh Bisen ,22,1,
171,Shri Raju Bista ,23,0,
172,Shri Khagen Murmu ,22,1,
173,Shri Ravindra Shyamnarayan Shukla alias Ravi Kishan ,21,2,
174,Shri Vijay Kumar Dubey ,12,11,
175,Shri Bholanath (B.P. Saroj) ,23,0,
176,Shri Upendra Rawat ,22,1,
177,Shri Satyadev Pachauri ,22,1,
178,Shri Sangam Lal Gupta ,19,4,
179,Shri Ramesh Chand ,21,2,
180,Shri Rebati Tripura ,22,1,
181,Shri Bandi Sanjay Kumar ,23,0,
182,Shri Rajkumar Chahar ,22,1,
183,Shri Praveen Nishad ,21,2,
184,Shri Pradeep Kumar ,23,0,
185,Shri Jai Prakash Rawat ,15,8,
186,Sadhvi Pragya Singh Thakur ,18,5,
195,Smt. Sangeeta Singh Deo ,23,0,
196,Smt. Poonam Mahajan ,19,4,
197,Shri Ram Kripal Yadav ,22,1,
198,Shri Jual Oram ,14,9,
199,Prof. S.P. Singh Baghel ,23,0,
200,Shri Ramesh Jigajinagi ,15,8,
201,Shri Bhanu Pratap Singh Verma ,23,0,
202,Shri Nand Kumar Singh Chauhan ,22,1,
203,Smt. Rama Devi ,22,1,
204,Shri G.M. Siddeshwara ,13,10,
205,Shri Nihal Chand ,23,0,
206,Shri Pashupati Nath Singh ,21,2,
207,Shri G. S. Basavaraj ,17,6,
208,Shri Chhedi Paswan ,20,3,
209,Shri Jagdambika Pal ,23,0,
210,Shri Dharambir Singh ,23,0,
211,Shri Vinod Sonkar ,20,3,
212,Shri C. P. Joshi ,21,2,
213,Shri Pradhan Baruah ,23,0,
214,Shri Ramesh Kaushik ,23,0,
215,Shri Jaswantsinh Bhabhor ,23,0,
216,Shri Mohanbhai Kundariya ,20,3,
217,Shri Sudhir Gupta ,23,0,
218,Ms. Pratima Bhoumik ,23,0,
219,Smt. Diya Kumari ,21,2,
220,Smt. Queen Oja ,16,7,
221,Smt. Gomati Sai ,20,3,
222,Smt. Annpurna Devi ,18,5,
223,Smt. Gitaben Rathva ,22,1,
224,Smt. Shardaben Patel ,22,1,
225,Smt. Sunita Duggal ,23,0,
226,Smt. Himadri Singh ,19,4,
227,Smt. Sandhya Ray ,21,2,
228,Dr. Bharti Pawar ,23,0,
229,Shri Devusinh Chauhan ,22,1,
230,Shri Dipsinh S. Rathod ,23,0,
231,Shri K. C. Patel ,20,3,
232,Shri Rajesh Chudasama ,19,4,
233,Shri Dharmendra Kashyap ,23,0,
234,Shri Harish Chandra alias Harish Dwivedi ,22,1,
235,Shri Lallu Singh ,23,0,
236,Shri Mukesh Rajput ,22,1,
237,Shri Pushpendra Singh Chandel ,21,2,
238,Shri Rajvir Diler ,23,0,
239,Shri Ravindra Kushwaha ,20,3,
240,Shri Ashok Rawat ,21,2,
241,Shri Arun Kumar Sagar ,23,0,
242,Shri Anurag Sharma ,23,0,
243,Shri Akshaibar Lal ,23,0,
244,Shri Gautam Gambhir ,10,13,
