Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register,
245,Shri Hans Raj Hans ,14,9,
246,Shri Soyam Babu Rao ,20,3,
247,Shri D. Arvind ,21,2,
248,Shri R.K. Singh Patel ,19,4,
249,Shri Shankar Lalwani ,23,0,
250,Shri Ramakant Bhargava ,10,13,
251,Shri Raj Bahadur Singh ,17,6,
252,Shri Mahendra Solanky ,19,4,
253,"Shri Krishna Pal Singh ""Dr. K.P. Yadav"" ",19,4,
254,Shri G.S. Damor ,20,3,
255,Shri Gajendra Patel ,21,2,
256,Shri Durga Das (D.D.) Uikey ,22,1,
257,Shri Chhatar Singh Darbar ,21,2,
258,Shri Vishnu Datt Sharma ,10,13,
259,Shri Anil Firojiya ,17,6,
260,Shri Vivek Shejwalkar ,22,1,
261,Shri Sunil Baburao Mendhe ,21,2,
262,Shri Sujay Vikhe Patil ,21,2,
263,Shri Sudhakar Tukaram Shrangare ,12,11,
264,Shri Ranjeetsinha H. Naiknimbalkar ,11,12,
265,Shri Prataprao Patil ,18,5,
266,Shri Manoj Kotak ,23,0,
267,Dr. Jai Siddeshwar Shivachary ,7,16,
268,Shri Girish Bapat ,17,6,
269,Shri Unmesh Patil ,21,2,
270,Shri Vijay Baghel ,23,0,
271,Shri Sunil Kumar Soni ,23,0,
272,Shri Pallab Lochan Das ,19,4,
273,Shri Topon Kumar Gogoi ,21,2,
274,Shri Rajdeep Roy ,20,3,
275,Shri Santosh Pandey ,22,1,
277,Shri Rajiv Ranjan Singh @ Lalan Singh ,18,5,
278,Shri Dinesh Chandra Yadav ,15,8,
279,Shri Vinayak Raut ,22,1,
280,Shri Arvind Sawant ,22,1,
281,Shri Rajiv Pratap Rudy ,21,2,
282,Shri Anant Hegde ,16,7,
283,Shri Kaushalendra Kumar ,23,0,
284,Shri Gajanan Kirtikar ,20,3,
285,Shri Chirag Paswan ,15,8,
286,Shri P.P. Chaudhary ,22,1,
287,Shri P. C. Mohan ,23,0,
289,Ms. Agatha K. Sangma ,10,13,
290,Smt. Anupriya Patel ,21,2,
291,Shri Mohan S. Delkar ,18,5,
292,Shri Tapir Gao ,17,6,
293,Shri Kaushal Kishore ,20,3,
294,Shri Parbhubhai Vasava ,19,4,
295,Shri Kamlesh Paswan ,22,1,
296,Shri Prince Raj ,20,3,
297,Shri Tokheho Yepthomi ,10,13,
298,Shri P. Ravindhranath ,14,9,
299,Shri Prataprao Jadhav ,10,13,
300,Shri C. Lalrosanga ,15,8,
301,Shri Hanuman Beniwal ,22,1,
302,Shri Pashupati Kumar Paras ,21,2,
303,Shri Chandra Prakash Choudhary ,21,2,
304,Shri Indra Hang Subba ,9,14,
305,Shri Giridhari Yadav ,17,6,
306,Shri Rajan Vichare ,16,7,
307,Shri Sanjay Jadhav ,14,9,
308,Shri Chandan Singh ,12,11,
309,Shri Rahul Shewale ,20,3,
310,Shri Shreerang Appa Chandu Barne ,19,4,
311,Dr. Shrikant Shinde ,20,3,
312,Shri Krupal Balaji Tumane ,20,3,
313,Shri Hemant Godse ,21,2,
314,Shri Baidyanath Prasad Mahto ,7,2,
314,Shri Sanjay Bhatia ,23,0,
315,Shri Mahabali Singh ,23,0,
316,Shri Santosh Kumar ,20,3,
317,Shri Dileshwar Kamait ,23,0,
318,Shri Lorho S. Pfoze ,19,4,
319,Shri Balak Nath ,14,9,
320,Shri Bhagirath Chaudhary ,23,0,
321,Shri Nitesh Ganga Deb ,21,2,
322,Shri Bishweswar Tudu ,20,3,
323,Shri Pakauri Lal Kaul ,22,1,
324,Smt. Kavita Singh ,19,4,
325,Shri Dulal Chandra Goswami ,22,1,
326,Shri Rajendra Gavit ,14,9,
327,Shri Sadashiv Lokhande ,13,10,
328,Shri Om Prakash B. alias Pawan Rajenimbalkar ,14,9,
329,Shri Brijendra Singh ,23,0,
330,Shri Mohan Mandavi ,23,0,
331,Shri Chunnilal Sahu ,21,2,
332,Shri Arun Sao ,22,1,
333,Shri Sanjay Seth ,19,4,
334,Shri Jamyang Tsering Namgyal ,22,1,
335,Shri Suresh Kashyap ,23,0,
336,Shri Alok Kumar Suman ,21,2,
337,Shri Ramprit Mandal ,23,0,
338,Shri Horen Sing Bey ,10,13,
339,Shri Kripanath Mallah ,14,9,
340,Shri Ashok Kumar Yadav ,23,0,
341,Shri Gopal Ji Thakur ,23,0,
342,Shri Kishan Kapoor ,22,1,
344,Shri Nayab Singh ,23,0,
345,Shri Basanta Kumar Panda ,23,0,
346,Dr. Rajkumar Ranjan Singh ,21,2,
347,Shri Sunil Soren ,20,3,
348,Shri Suresh Pujari ,16,7,
349,Shri Sanjay Mandlik ,13,10,
350,Shri Sunil Kumar Pintu ,19,4,
351,Smt. Veena Devi ,22,1,
352,Shri Subrata Pathak ,21,2,
353,Shri Dilip Saikia ,16,7,
354,Shri Narendra Kumar ,22,1,
355,Shri Dhairyasheel S. Mane ,11,12,
356,Shri Chandeshwar Prasad ,19,4,
357,Shri Vijay Kumar Manjhi ,22,1,
358,Shri Ajay Kumar Mandal ,13,10,
359,Shri Hemant Patil ,15,8,
360,Shri Choudhary Mehboob Ali Kaiser ,23,0,
363,Shri Naba Kumar Sarania ,7,16,
364,Shri Imtiaz Jaleel Syed ,20,3,
365,Shri P.V. Midhun Reddy ,13,10,
366,Shri Sudip Bandyopadhyay ,21,2,
367,Shri Pinaki Misra ,23,0,
368,Shri Magunta Sreenivasulu Reddy ,15,8,
369,Shri Kalyan Banerjee ,14,9,
370,Shri Nama Nageswara Rao ,23,0,
371,Shri Ritesh Pandey ,22,1,
372,Shri Bhartruhari Mahtab ,23,0,
373,Shri Balashowry Vallabbhaneni ,19,4,
374,Prof. Saugata Roy ,21,2,
375,Shri Jayadev Galla ,18,5,
376,Shri Kotha Prabhakar Reddy ,15,8,
377,Shri Girish Chandra ,19,4,
378,Shri Chandra Sekhar Sahu ,17,6,
379,Shri Margani Bharat ,10,13,
380,Shri Abhishek Banerjee ,4,19,
381,Shri B. B. Patil ,22,1,
382,Shri Malook Nagar ,23,0,
383,Shri Achyutananda Samanta ,16,7,
384,Smt. Vanga Geetha Viswanath ,16,7,
385,Shri Kotagiri Sridhar ,18,5,
386,Dr. Kakoli Ghosh Dastidar ,15,8,
387,Shri Sisir Adhikari ,9,14,
388,Shri K. Ram Mohan Naidu ,22,1,
389,Shri Pothuganti Ramulu ,19,4,
390,Shri Afzal Ansari ,21,2,
391,Shri Anubhav Mohanty ,22,1,
392,Shri Nandigam Suresh ,5,18,
393,Shri Adala Prabhakara Reddy ,16,7,
394,Shri Choudhury Mohan Jatua ,17,6,
395,Smt. Satabdi Roy ,14,9,
396,Shri Dayakar Pasunoori ,7,16,
397,Shri Kesineni Srinivas ,18,5,
398,Shri Kunwar Danish Ali ,23,0,
399,Shri Ramesh Chandra Majhi ,13,10,
400,Shri Mahesh Sahoo ,10,13,
401,Shri Balli Durga Prasad Rao ,12,11,
402,Shri N. Reddeppa ,18,5,
403,Shri Lavu Sri Krishna Devarayalu ,17,6,
404,Shri Prasun Banerjee ,10,13,
405,Smt. Pratima Mondal ,16,7,
406,Smt. Sajda Ahmed ,14,9,
407,Smt. Kavitha Malothu ,5,18,
408,Smt. Sangeeta Azad ,18,5,
409,Smt. Rajashree Mallick ,14,9,
410,Dr. Beesetti Venkata Satyavathi ,16,7,
411,Ms. Goddeti Madhavi ,17,6,
412,Smt. Chinta Anuradha ,4,19,
413,Shri P.R. Natarajan ,21,2,
414,Adv. A. M. Ariff ,22,1,
415,Shri Sunil Kumar Mondal ,18,5,
416,Smt. Aparupa Poddar (Afrin Ali) ,12,11,
417,Shri Dibyendu Adhikari ,9,14,
418,Shri Manne Srinivas Reddy ,7,16,
419,Shri Shyam Singh Yadav ,22,1,
420,Smt. Manjulata Mandal ,16,7,
421,Shri Bellana Chandra Sekhar ,16,7,
422,Shri Y. S. Avinash Reddy ,6,17,
423,Shri Subbarayan K. ,22,1,
424,Shri Venkatesan S. ,15,8,
425,Smt. Mala Roy ,8,15,
426,Shri Deepak Adhikari ,2,21,
427,Dr. G. Ranjith Reddy ,17,6,
428,Shri Haji Fazlur Rehman ,13,10,
429,Shri Shiromani Ram ,22,1,
430,Smt. Pramila Bisoyi ,12,11,
431,Ms. Chandrani Murmu ,19,4,
432,Shri Talari Rangaiah ,18,5,
433,Dr. Ayushman Doctor Sanjeev Kumar ,6,17,
434,Shri Kuruva Gorantla Madhav ,13,10,
435,Shri Selvaraj M. ,19,4,
436,Km. Mimi Chakraborty ,2,21,
437,Smt. Nusrat Jahan Ruhi ,2,21,
438,Ms. Mahua Moitra ,19,4,
439,Shri Bhagwant Mann ,18,5,
440,Shri Venkatesh Netha Borlakunta ,16,7,
441,Shri Atul Kumar Singh alias Atul Rai ,1,22,
442,Smt. Sarmistha Sethi ,2,21,
443,Shri Pocha Brahmananda Reddy ,18,5,
444,Shri M V V Satyanarayana ,18,5,
445,Shri Kanumuru Raghu Ramakrishna Raju ,22,1,
446,Shri Abu Taher Khan ,16,7,
447,Shri Khalilur Rahaman ,15,8,
448,Shri Asit Kumar Mal ,15,8,
449,Dr. T. R. Paarivendhar ,9,14,
450,Shri T.R.V.S. Ramesh ,11,12,
451,Shri S. Ramalingam ,21,2,
452,Dr. M.K. Vishnu Prasad ,19,4,
453,Adv. Dean Kuriakose ,21,2,
454,Shri T. R. Baalu ,21,2,
455,Shri Mulayam Singh Yadav ,14,9,
457,Smt. Sonia Gandhi ,4,19,
458,Shri Adhir Ranjan Chowdhury ,22,1,
460,Shri Akhilesh Yadav ,11,12,
461,Smt. K. Kanimozhi ,20,3,
462,Smt. Supriya Sule ,20,3,
463,Shri E. T. Mohammed Basheer ,22,1,
463,Shri P.K. Kunhalikutty ,17,6,
464,Shri A Raja ,20,3,
465,Shri Kodikunnil Suresh ,22,1,
466,Shri Rahul Gandhi ,16,7,
467,Shri K. Muraleedharan ,23,0,
468,Dr. Shashi Tharoor ,23,0,
469,Shri Dayanidhi Maran ,22,1,
470,Shri S. Jagathrakshakan ,11,12,
471,Shri Francisco Sardinha ,22,1,
472,Shri S.S. Palanimanickam ,7,16,
473,Smt. Preneet Kaur ,22,1,
474,Shri N.K. Premachandran ,23,0,
475,Shri Asaduddin Owaisi ,18,5,
476,Shri Vijay Kumar Hansdak ,9,14,
477,Shri Shriniwas Dadasaheb Patil ,17,6,
478,Shri M. K. Raghavan ,20,3,
479,Shri Anto Antony ,22,1,
480,Shri Thirumaavalavan Thol ,19,4,
481,Shri Abu Hasem Khan Choudhury ,20,3,
482,Shri Ravneet Singh Bittu ,21,2,
483,Shri Gaurav Gogoi ,19,4,
484,Shri Badruddin Ajmal ,11,12,
485,Shri D K Suresh ,19,4,
486,Shri Sunil Tatkare Dattatray ,14,9,
487,Shri K Sudhakaran ,13,10,
488,Shri Thomas Chazhikadan ,21,2,
489,Shri Vaithilingam Ve. ,21,2,
490,Shri Manish Tiwari ,23,0,
491,Shri Uttam Kumar Reddy Nalamada ,21,2,
492,Shri Manickam Tagore ,22,1,
493,Shri Su. Thirunavukkarasar ,15,8,
494,Shri Gurjeet Singh Aujla ,20,3,
495,Shri Vincent H Pala ,22,1,
496,Shri Ganeshamurthi A. ,14,9,
497,Shri Santokh Singh Chaudhary ,20,3,
498,Shri Saptagiri Ulaka ,23,0,
499,Shri Mohammad Akbar Lone ,12,11,
500,Shri Amar Singh ,23,0,
501,Dr. Kalanidhi Veeraswamy ,22,1,
502,Shri Mohammed Faizal P.P. ,19,4,
503,Shri Prajwal Revanna ,21,2,
504,Shri Behanan Benny ,21,2,
505,Shri Kuldeep Rai Sharma ,15,8,
506,Dr. Mohammad Jawed ,23,0,
507,Shri Pradyut Bordoloi ,23,0,
508,Shri C.N. Annadurai ,20,3,
509,Dr. Amol Ramsing Kolhe ,17,6,
511,Shri Hibi Eden ,22,1,
512,Smt. Jyotsna Charandas Mahant ,5,18,
513,Shri G. Selvam ,22,1,
515,Shri Deepak Baij ,13,10,
516,Shri Abdul Khaleque ,23,0,
517,Shri Nakul K. Nath ,11,12,
518,Dr. T. Sumathy (A) Thamizhachi Thangapandian ,20,3,
519,Adv. Adoor Prakash ,22,1,
520,Shri V.K. Sreekandan ,23,0,
521,Dr. A. Chellakumar ,19,4,
522,Shri Balubhau @ Suresh Narayan Dhanorkar ,6,17,
523,Dr. Gautham Sigamani Pon ,22,1,
524,Shri Rajmohan Unnithan ,20,3,
525,Shri Shafiqur Rehman Barq ,22,1,
526,Shri K. Navaskani ,19,4,
528,Shri T.N. Prathapan ,20,3,
529,Dr. K. Jayakumar ,21,2,
530,Shri Anumula Revanth Reddy ,9,14,
531,Ms. S. Jothimani ,20,3,
532,Shri D. M. Kathir Anand ,16,7,
533,Shri H. Vasanthakumar ,21,2,
534,Dr. S.T. Hasan ,18,5,
535,Ms. Ramya Haridas ,16,7,
536,Smt. Geeta Kora ,9,14,
537,Dr. DNV Senthilkumar. S. ,23,0,
538,Shri Hasnain Masoodi ,20,3,
539,Shri S. Gnanathiraviam ,14,9,
540,Shri Dhanush M Kumar ,23,0,
541,Shri Mohammad Sadique ,13,10,
542,Shri Karti P. Chidambaram ,17,6,
543,Shri Komati Reddy Venkat Reddy ,14,9,
544,Shri Ravikumar D. ,16,7,
545,Shri S.R. Parthiban ,18,5,
546,Shri A.K.P. Chinraj ,15,8,
548,Shri Jasbir Singh Gill ,23,0,
549,Shri K. Shanmuga Sundaram ,21,2,
550,Shri P. Velusamy ,20,3,
