Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register,
177,Shri Satyadev Pachauri ,18,2,
178,Shri Sangam Lal Gupta ,18,2,
179,Shri Ramesh Chand ,20,0,
180,Shri Rebati Tripura ,20,0,
181,Shri Bandi Sanjay Kumar ,18,2,
182,Shri Rajkumar Chahar ,20,0,
183,Shri Praveen Nishad ,18,2,
184,Shri Pradeep Kumar ,20,0,
185,Shri Jai Prakash Rawat ,12,8,
186,Sadhvi Pragya Singh Thakur ,18,2,
195,Smt. Sangeeta Singh Deo ,17,3,
196,Smt. Poonam Mahajan ,19,1,
197,Shri Ram Kripal Yadav ,11,9,
198,Shri Jual Oram ,20,0,
199,Prof. S.P. Singh Baghel ,16,4,
200,Shri Ramesh Jigajinagi ,19,1,
201,Shri Bhanu Pratap Singh Verma ,19,1,
202,Shri Nand Kumar Singh Chauhan ,12,8,
203,Smt. Rama Devi ,20,0,
204,Shri G.M. Siddeshwara ,11,9,
205,Shri Nihal Chand ,19,1,
206,Shri Pashupati Nath Singh ,7,13,
207,Shri G. S. Basavaraj ,17,3,
208,Shri Chhedi Paswan ,4,16,
209,Shri Jagdambika Pal ,20,0,
210,Shri Dharambir Singh ,19,1,
211,Shri Vinod Sonkar ,20,0,
212,Shri C. P. Joshi ,20,0,
213,Shri Pradhan Baruah ,18,2,
214,Shri Ramesh Kaushik ,20,0,
215,Shri Jaswantsinh Bhabhor ,17,3,
216,Shri Mohanbhai Kundariya ,20,0,
217,Shri Sudhir Gupta ,20,0,
218,Ms. Pratima Bhoumik ,11,9,
219,Smt. Diya Kumari ,19,1,
220,Smt. Queen Oja ,17,3,
221,Smt. Gomati Sai ,16,4,
222,Smt. Annpurna Devi ,3,17,
223,Smt. Gitaben Rathva ,19,1,
224,Smt. Shardaben Patel ,18,2,
225,Smt. Sunita Duggal ,20,0,
226,Smt. Himadri Singh ,20,0,
227,Smt. Sandhya Ray ,19,1,
228,Dr. Bharti Pawar ,19,1,
229,Shri Devusinh Chauhan ,15,5,
230,Shri Dipsinh S. Rathod ,20,0,
231,Shri K. C. Patel ,18,2,
232,Shri Rajesh Chudasama ,20,0,
233,Shri Dharmendra Kashyap ,17,3,
234,Shri Harish Chandra alias Harish Dwivedi ,15,5,
235,Shri Lallu Singh ,20,0,
236,Shri Mukesh Rajput ,19,1,
237,Shri Pushpendra Singh Chandel ,20,0,
238,Shri Rajvir Diler ,20,0,
239,Shri Ravindra Kushwaha ,19,1,
240,Shri Ashok Rawat ,16,4,
241,Shri Arun Kumar Sagar ,19,1,
242,Shri Anurag Sharma ,19,1,
243,Shri Akshaibar Lal ,16,4,
244,Shri Gautam Gambhir ,17,3,
245,Shri Hans Raj Hans ,2,18,
246,Shri Soyam Babu Rao ,18,2,
247,Shri D. Arvind ,20,0,
248,Shri R.K. Singh Patel ,16,4,
249,Shri Shankar Lalwani ,20,0,
250,Shri Ramakant Bhargava ,14,6,
251,Shri Raj Bahadur Singh ,19,1,
252,Shri Mahendra Solanky ,20,0,
253,"Shri Krishna Pal Singh ""Dr. K.P. Yadav"" ",20,0,
254,Shri G.S. Damor ,18,2,
255,Shri Gajendra Patel ,14,6,
256,Shri Durga Das (D.D.) Uikey ,20,0,
257,Shri Chhatar Singh Darbar ,18,2,
258,Shri Vishnu Datt Sharma ,20,0,
259,Shri Anil Firojiya ,15,5,
260,Shri Vivek Shejwalkar ,19,1,
261,Shri Sunil Baburao Mendhe ,20,0,
262,Shri Sujay Vikhe Patil ,18,2,
263,Shri Sudhakar Tukaram Shrangare ,19,1,
264,Shri Ranjeetsinha H. Naiknimbalkar ,6,14,
265,Shri Prataprao Patil ,16,4,
266,Shri Manoj Kotak ,20,0,
267,Dr. Jai Siddeshwar Shivachary ,16,4,
268,Shri Girish Bapat ,17,3,
269,Shri Unmesh Patil ,15,5,
270,Shri Vijay Baghel ,19,1,
271,Shri Sunil Kumar Soni ,14,6,
272,Shri Pallab Lochan Das ,17,3,
273,Shri Topon Kumar Gogoi ,19,1,
274,Shri Rajdeep Roy ,18,2,
275,Shri Santosh Pandey ,14,6,
277,Shri Rajiv Ranjan Singh @ Lalan Singh ,17,3,
278,Shri Dinesh Chandra Yadav ,17,3,
279,Shri Vinayak Raut ,15,5,
280,Shri Arvind Sawant ,20,0,
281,Shri Rajiv Pratap Rudy ,20,0,
282,Shri Anant Hegde ,18,2,
283,Shri Kaushalendra Kumar ,20,0,
284,Shri Gajanan Kirtikar ,14,6,
285,Shri Chirag Paswan ,15,5,
286,Shri P.P. Chaudhary ,20,0,
287,Shri P. C. Mohan ,7,13,
288,Smt. Bhavana Gawali ,6,14,
289,Ms. Agatha K. Sangma ,9,11,
290,Smt. Anupriya Patel ,20,0,
291,Shri Mohan S. Delkar ,20,0,
292,Shri Tapir Gao ,20,0,
293,Shri Kaushal Kishore ,20,0,
294,Shri Parbhubhai Vasava ,15,5,
295,Shri Kamlesh Paswan ,19,1,
296,Shri Prince Raj ,19,1,
297,Shri Tokheho Yepthomi ,15,5,
298,Shri P. Ravindhranath ,10,10,
299,Shri Prataprao Jadhav ,15,5,
300,Shri C. Lalrosanga ,15,5,
301,Shri Hanuman Beniwal ,19,1,
302,Shri Pashupati Kumar Paras ,14,6,
304,Shri Indra Hang Subba ,14,6,
305,Shri Giridhari Yadav ,15,5,
306,Shri Rajan Vichare ,14,6,
307,Shri Sanjay Jadhav ,15,5,
308,Shri Chandan Singh ,15,5,
309,Shri Rahul Shewale ,18,2,
310,Shri Shreerang Appa Chandu Barne ,19,1,
311,Dr. Shrikant Shinde ,16,4,
312,Shri Krupal Balaji Tumane ,17,3,
313,Shri Hemant Godse ,19,1,
314,Shri Baidyanath Prasad Mahto ,14,6,
314,Shri Sanjay Bhatia ,20,0,
315,Shri Mahabali Singh ,19,1,
316,Shri Santosh Kumar ,17,3,
317,Shri Dileshwar Kamait ,20,0,
318,Shri Lorho S. Pfoze ,17,3,
319,Shri Balak Nath ,13,7,
320,Shri Bhagirath Chaudhary ,20,0,
321,Shri Nitesh Ganga Deb ,20,0,
