Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register,
5,Shri D.V. Sadananda Gowda ,13,0,
9,Dr. Harsh Vardhan ,13,0,
12,Shri Santosh Kumar Gangwar ,13,0,
15,Dr. Jitendra Singh ,12,1,
21,Shri R. K. Singh ,1,12,
22,Dr. Sanjay Jaiswal ,10,3,
23,Shri Ratan Lal Kataria ,12,1,
25,Shri Babul Supriyo ,3,10,
31,Shri Rakesh Singh ,12,1,
32,Shri Nishikant Dubey ,13,0,
33,Shri Ganesh Singh ,11,2,
34,Dr. Kirit Solanki ,13,0,
35,Shri Uday Pratap Singh ,11,2,
37,Shri Rameswar Teli ,13,0,
39,Shri Pratap Chandra Sarangi ,12,1,
40,Dr. Satya Pal Singh ,13,0,
41,Dr. Mahesh Sharma ,11,2,
42,Shri Rajendra Agrawal ,13,0,
43,Dr. Ram Shankar Katheria ,10,3,
44,Shri Naranbhai Kachhadiya ,8,5,
45,Shri C. R. Patil ,11,2,
46,Shri Lalubhai Patel ,13,0,
47,Shri Shivkumar Udasi ,12,1,
48,Shri Varun Gandhi ,10,3,
49,Shri Nalin Kateel ,12,1,
50,Shri Devji Patel ,9,4,
51,Shri Ajay Tamta ,13,0,
52,Shri Sudarshan Bhagat ,13,0,
53,Shri Rajyavardhan Singh Rathore ,10,3,
54,Shri Jayant Sinha ,13,0,
55,Shri Vishnu Dayal Ram ,13,0,
57,Shri B. Y. Raghavendra ,8,5,
58,Shri Pratap Simha ,12,1,
59,Shri Subhash Baheria ,13,0,
60,Shri Sunil Kumar Singh ,13,0,
61,Shri Jugal Kishore ,13,0,
63,Shri Bidyut Mahato ,13,0,
64,Shri Vinodbhai Chavda ,6,7,
65,Shri Karadi Sanganna Amarappa ,13,0,
66,Shri Janardan Mishra ,13,0,
67,Shri Rodmal Nagar ,13,0,
68,Shri Ashok Nete ,11,2,
69,Shri Ramdas C. Tadas ,13,0,
70,Shri Sanjay Kaka Patil ,7,6,
71,Shri Kapil Patil ,1,12,
72,Shri Janardan Singh Sigriwal ,13,0,
73,Shri Saumitra Khan ,8,5,
74,Shri Satish Kumar Gautam ,13,0,
75,Shri Guharam Ajgalley ,13,0,
77,Shri Tirath Singh Rawat ,13,0,
78,Shri Ramesh Bidhuri ,12,1,
79,Shri Manoj Tiwari ,13,0,
80,Shri Parvesh Verma ,12,1,
81,Shri Tejasvi Surya ,12,1,
82,Shri Ramesh Dhaduk ,11,2,
83,Shri Parbatbhai Patel ,13,0,
84,Shri Mitesh Patel (Bakabhai) ,13,0,
85,Dr. Mahendrabhai Munjapara ,13,0,
86,Shri Hasmukhbhai S. Patel ,13,0,
87,Shri Bharatsinh Dabhi ,13,0,
88,Dr. Umesh Jadhav ,13,0,
89,Shri S. Muniswamy ,12,1,
90,Shri Raja Amreshwara Naik ,13,0,
91,Shri Y. Devendrappa ,13,0,
92,Shri B. N. Bache Gowda ,7,6,
93,Shri Annasaheb Jolle ,11,2,
94,Shri A. Narayanaswamy ,5,8,
95,Shri Ratan Rathod ,13,0,
96,Dr. Subhas Sarkar ,6,7,
98,Shri Ravi Shankar Prasad ,8,5,
100,Smt. Maneka Sanjay Gandhi ,9,4,
101,Shri Sukhbir Singh Badal ,8,5,
103,Shri Brijbhushan Sharan Singh ,8,5,
107,Shri Radha Mohan Singh ,13,0,
108,Smt. Hema Malini ,4,9,
109,Shri Mansukhbhai Vasava ,13,0,
111,Shri Sakshi Maharaj ,11,2,
113,Shri S.S. Ahluwalia ,8,5,
114,Shri Virendra Singh ,12,1,
115,Shri Arvind Sharma ,12,1,
116,Shri P. C. Gaddigoudar ,11,2,
117,Shri Dushyant Singh ,13,0,
118,Shri Rajesh Verma ,13,0,
119,Shri Kirti Vardhan Singh ,10,3,
120,Shri Sushil Kumar Singh ,12,1,
121,Smt. Darshana Vikram Jardosh ,13,0,
122,Smt. Mala Rajya Laxmi Shah ,13,0,
123,Smt. Jaskaur Meena ,13,0,
126,Smt. Poonamben Maadam ,13,0,
127,Smt. Rita Bahuguna Joshi ,12,1,
129,Smt. Ranjanben Bhatt ,13,0,
130,Smt. Rekha Verma ,10,3,
131,Dr. Bharatiben Shyal ,12,1,
132,Dr. (Smt.) Pritam Gopinath Munde ,11,2,
133,Dr. Heena Gavit ,13,0,
134,Smt. Riti Pathak ,13,0,
135,Smt. Navnit Ravi Rana ,13,0,
136,Smt. Raksha Khadse ,12,1,
137,Smt. Aparajita Sarangi ,12,1,
138,Smt. Sumalatha Ambareesh ,13,0,
139,Ms. Locket Chatterjee ,13,0,
140,Smt. Keshari Patel ,13,0,
141,Smt. Ranjeeta Koli ,13,0,
142,Dr. Sanghamitra Maurya ,13,0,
143,Shri Sumedhanand Saraswati ,13,0,
144,Shri Ajay Nishad ,13,0,
145,Shri Pradeep Kumar Singh ,12,1,
146,Shri Gopal Shetty ,13,0,
147,Shri Ramapati Ram Tripathi ,13,0,
148,Shri Subhash Bhamre ,12,1,
149,Shri Dilip Ghosh ,13,0,
150,Shri Kanakmal Katara ,13,0,
151,Shri Rajveer Singh (Raju Bhaiya) ,1,12,
152,Dr. Manoj Rajoria ,13,0,
153,Shri Rahul Kaswan ,13,0,
154,Shri Ramcharan Bohra ,13,0,
155,Shri Sukhbir Singh Jaunpuria ,12,1,
156,Shri Sunny Deol ,2,11,
157,Shri Bhola Singh ,13,0,
158,Shri Devendra Bhole ,12,1,
160,Shri Arjun Lal Meena ,11,2,
161,Dr. Chandrasen Jadon ,13,0,
162,Shri Jyotirmay Singh Mahato ,12,1,
163,Shri Nisith Pramanik ,1,12,
