Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register,
164,Shri John Barla ,11,2,
165,Dr. Jayanta Kumar Roy ,12,1,
166,Dr. Sukanta Majumdar ,13,0,
167,Shri Jagannath Sarkar ,13,0,
168,Shri Arjun Singh ,13,0,
169,Shri Kunar Hembram ,13,0,
170,Shri Dhal Singh Bisen ,13,0,
171,Shri Raju Bista ,13,0,
172,Shri Khagen Murmu ,13,0,
173,Shri Ravindra Shyamnarayan Shukla alias Ravi Kishan ,3,10,
174,Shri Vijay Kumar Dubey ,9,4,
175,Shri Bholanath (B.P. Saroj) ,13,0,
176,Shri Upendra Rawat ,13,0,
177,Shri Satyadev Pachauri ,13,0,
178,Shri Sangam Lal Gupta ,12,1,
179,Shri Ramesh Chand ,11,2,
180,Shri Rebati Tripura ,13,0,
181,Shri Bandi Sanjay Kumar ,12,1,
182,Shri Rajkumar Chahar ,13,0,
183,Shri Praveen Nishad ,11,2,
184,Shri Pradeep Kumar ,13,0,
185,Shri Jai Prakash Rawat ,12,1,
186,Sadhvi Pragya Singh Thakur ,7,6,
193,Smt. Debasree Chaudhuri ,13,0,
195,Smt. Sangeeta Singh Deo ,11,2,
196,Smt. Poonam Mahajan ,9,4,
197,Shri Ram Kripal Yadav ,13,0,
198,Shri Jual Oram ,12,1,
199,Prof. S.P. Singh Baghel ,1,12,
200,Shri Ramesh Jigajinagi ,9,4,
203,Smt. Rama Devi ,13,0,
204,Shri G.M. Siddeshwara ,9,4,
205,Shri Nihal Chand ,12,1,
206,Shri Pashupati Nath Singh ,11,2,
207,Shri G. S. Basavaraj ,11,2,
208,Shri Chhedi Paswan ,13,0,
209,Shri Jagdambika Pal ,13,0,
210,Shri Dharambir Singh ,12,1,
211,Shri Vinod Sonkar ,12,1,
212,Shri C. P. Joshi ,13,0,
213,Shri Pradhan Baruah ,13,0,
214,Shri Ramesh Kaushik ,13,0,
215,Shri Jaswantsinh Bhabhor ,11,2,
216,Shri Mohanbhai Kundariya ,13,0,
217,Shri Sudhir Gupta ,13,0,
219,Smt. Diya Kumari ,13,0,
220,Smt. Queen Oja ,8,5,
221,Smt. Gomati Sai ,13,0,
222,Smt. Annpurna Devi ,1,12,
223,Smt. Gitaben Rathva ,13,0,
224,Smt. Shardaben Patel ,13,0,
225,Smt. Sunita Duggal ,13,0,
226,Smt. Himadri Singh ,13,0,
227,Smt. Sandhya Ray ,12,1,
230,Shri Dipsinh S. Rathod ,11,2,
231,Shri K. C. Patel ,13,0,
232,Shri Rajesh Chudasama ,13,0,
233,Shri Dharmendra Kashyap ,13,0,
234,Shri Harish Chandra alias Harish Dwivedi ,13,0,
235,Shri Lallu Singh ,12,1,
236,Shri Mukesh Rajput ,11,2,
237,Shri Pushpendra Singh Chandel ,13,0,
238,Shri Rajvir Diler ,13,0,
239,Shri Ravindra Kushwaha ,13,0,
240,Shri Ashok Rawat ,13,0,
241,Shri Arun Kumar Sagar ,13,0,
242,Shri Anurag Sharma ,13,0,
243,Shri Akshaibar Lal ,11,2,
244,Shri Gautam Gambhir ,10,3,
246,Shri Soyam Babu Rao ,12,1,
247,Shri D. Arvind ,13,0,
248,Shri R.K. Singh Patel ,12,1,
249,Shri Shankar Lalwani ,13,0,
250,Shri Ramakant Bhargava ,3,10,
251,Shri Raj Bahadur Singh ,4,9,
252,Shri Mahendra Solanky ,13,0,
253,"Shri Krishna Pal Singh ""Dr. K.P. Yadav"" ",13,0,
254,Shri G.S. Damor ,9,4,
255,Shri Gajendra Patel ,12,1,
256,Shri Durga Das (D.D.) Uikey ,11,2,
257,Shri Chhatar Singh Darbar ,13,0,
258,Shri Vishnu Datt Sharma ,10,3,
259,Shri Anil Firojiya ,12,1,
260,Shri Vivek Shejwalkar ,13,0,
261,Shri Sunil Baburao Mendhe ,12,1,
262,Shri Sujay Vikhe Patil ,12,1,
263,Shri Sudhakar Tukaram Shrangare ,13,0,
264,Shri Ranjeetsinha H. Naiknimbalkar ,8,5,
265,Shri Prataprao Patil ,13,0,
266,Shri Manoj Kotak ,13,0,
267,Dr. Jai Siddeshwar Shivachary ,9,4,
268,Shri Girish Bapat ,13,0,
269,Shri Unmesh Patil ,13,0,
270,Shri Vijay Baghel ,13,0,
271,Shri Sunil Kumar Soni ,13,0,
272,Shri Pallab Lochan Das ,12,1,
273,Shri Topon Kumar Gogoi ,13,0,
274,Shri Rajdeep Roy ,10,3,
275,Shri Santosh Pandey ,13,0,
276,Smt. Harsimrat Kaur Badal ,13,0,
277,Shri Rajiv Ranjan Singh @ Lalan Singh ,13,0,
278,Shri Dinesh Chandra Yadav ,6,7,
279,Shri Vinayak Raut ,7,6,
280,Shri Arvind Sawant ,13,0,
281,Shri Rajiv Pratap Rudy ,13,0,
282,Shri Anant Hegde ,12,1,
283,Shri Kaushalendra Kumar ,13,0,
284,Shri Gajanan Kirtikar ,8,5,
285,Shri Chirag Paswan ,3,10,
286,Shri P.P. Chaudhary ,13,0,
287,Shri P. C. Mohan ,10,3,
289,Ms. Agatha K. Sangma ,12,1,
290,Smt. Anupriya Patel ,1,12,
292,Shri Tapir Gao ,13,0,
294,Shri Parbhubhai Vasava ,12,1,
295,Shri Kamlesh Paswan ,13,0,
296,Shri Prince Raj ,12,1,
297,Shri Tokheho Yepthomi ,12,1,
298,Shri P. Ravindhranath ,8,5,
299,Shri Prataprao Jadhav ,7,6,
300,Shri C. Lalrosanga ,7,6,
301,Shri Hanuman Beniwal ,13,0,
303,Shri Chandra Prakash Choudhary ,13,0,
304,Shri Indra Hang Subba ,10,3,
305,Shri Giridhari Yadav ,3,10,
306,Shri Rajan Vichare ,11,2,
307,Shri Sanjay Jadhav ,7,6,
308,Shri Chandan Singh ,13,0,
309,Shri Rahul Shewale ,13,0,
310,Shri Shreerang Appa Chandu Barne ,13,0,
311,Dr. Shrikant Shinde ,13,0,
312,Shri Krupal Balaji Tumane ,12,1,
313,Shri Hemant Godse ,11,2,
314,Shri Sanjay Bhatia ,13,0,
315,Shri Mahabali Singh ,13,0,
316,Shri Santosh Kumar ,11,2,
317,Shri Dileshwar Kamait ,13,0,
318,Shri Lorho S. Pfoze ,11,2,
319,Shri Balak Nath ,13,0,
320,Shri Bhagirath Chaudhary ,13,0,
321,Shri Nitesh Ganga Deb ,11,2,
322,Shri Bishweswar Tudu ,2,11,
323,Shri Pakauri Lal Kaul ,11,2,
324,Smt. Kavita Singh ,13,0,
325,Shri Dulal Chandra Goswami ,13,0,
326,Shri Rajendra Gavit ,3,10,
327,Shri Sadashiv Lokhande ,12,1,
328,Shri Om Prakash B. alias Pawan Rajenimbalkar ,13,0,
329,Shri Brijendra Singh ,13,0,
330,Shri Mohan Mandavi ,13,0,
331,Shri Chunnilal Sahu ,13,0,
332,Shri Arun Sao ,13,0,
333,Shri Sanjay Seth ,13,0,
334,Shri Jamyang Tsering Namgyal ,10,3,
335,Shri Suresh Kashyap ,10,3,
336,Shri Alok Kumar Suman ,13,0,
337,Shri Ramprit Mandal ,13,0,
338,Shri Horen Sing Bey ,12,1,
339,Shri Kripanath Mallah ,13,0,
340,Shri Ashok Kumar Yadav ,13,0,
341,Shri Gopal Ji Thakur ,13,0,
342,Shri Kishan Kapoor ,13,0,
344,Shri Nayab Singh ,13,0,
345,Shri Basanta Kumar Panda ,13,0,
346,Dr. Rajkumar Ranjan Singh ,6,7,
347,Shri Sunil Soren ,13,0,
348,Shri Suresh Pujari ,13,0,
349,Shri Sanjay Mandlik ,8,5,
350,Shri Sunil Kumar Pintu ,13,0,
351,Smt. Veena Devi ,13,0,
352,Shri Subrata Pathak ,9,4,
353,Shri Dilip Saikia ,13,0,
354,Shri Narendra Kumar ,13,0,
355,Shri Dhairyasheel S. Mane ,7,6,
356,Shri Chandeshwar Prasad ,13,0,
357,Shri Vijay Kumar Manjhi ,13,0,
358,Shri Ajay Kumar Mandal ,4,9,
359,Shri Hemant Patil ,10,3,
360,Shri Choudhary Mehboob Ali Kaiser ,9,4,
363,Shri Naba Kumar Sarania ,12,1,
364,Shri Imtiaz Jaleel Syed ,10,3,
365,Shri P.V. Midhun Reddy ,12,1,
366,Shri Sudip Bandyopadhyay ,12,1,
367,Shri Pinaki Misra ,13,0,
368,Shri Magunta Sreenivasulu Reddy ,12,1,
369,Shri Kalyan Banerjee ,13,0,
370,Shri Nama Nageswara Rao ,13,0,
371,Shri Ritesh Pandey ,12,1,
372,Shri Bhartruhari Mahtab ,13,0,
373,Shri Balashowry Vallabbhaneni ,12,1,
374,Prof. Saugata Roy ,13,0,
375,Shri Jayadev Galla ,12,1,
376,Shri Kotha Prabhakar Reddy ,7,6,
377,Shri Girish Chandra ,13,0,
378,Shri Chandra Sekhar Sahu ,8,5,
379,Shri Margani Bharat ,13,0,
380,Shri Abhishek Banerjee ,6,7,
381,Shri B. B. Patil ,12,1,
382,Shri Malook Nagar ,12,1,
383,Shri Achyutananda Samanta ,8,5,
384,Smt. Vanga Geetha Viswanath ,11,2,
385,Shri Kotagiri Sridhar ,11,2,
386,Dr. Kakoli Ghosh Dastidar ,7,6,
388,Shri K. Ram Mohan Naidu ,11,2,
389,Shri Pothuganti Ramulu ,13,0,
390,Shri Afzal Ansari ,10,3,
391,Shri Anubhav Mohanty ,11,2,
392,Shri Nandigam Suresh ,10,3,
393,Shri Adala Prabhakara Reddy ,11,2,
395,Smt. Satabdi Roy ,11,2,
396,Shri Dayakar Pasunoori ,6,7,
397,Shri Kesineni Srinivas ,13,0,
398,Shri Kunwar Danish Ali ,13,0,
399,Shri Ramesh Chandra Majhi ,11,2,
400,Shri Mahesh Sahoo ,6,7,
402,Shri N. Reddeppa ,7,6,
403,Shri Lavu Sri Krishna Devarayalu ,13,0,
404,Shri Prasun Banerjee ,13,0,
405,Smt. Pratima Mondal ,8,5,
406,Smt. Sajda Ahmed ,11,2,
407,Smt. Kavitha Malothu ,6,7,
408,Smt. Sangeeta Azad ,13,0,
409,Smt. Rajashree Mallick ,8,5,
410,Dr. Beesetti Venkata Satyavathi ,13,0,
411,Ms. Goddeti Madhavi ,13,0,
412,Smt. Chinta Anuradha ,13,0,
413,Shri P.R. Natarajan ,13,0,
414,Adv. A. M. Ariff ,13,0,
415,Shri Sunil Kumar Mondal ,13,0,
416,Smt. Aparupa Poddar (Afrin Ali) ,12,1,
417,Shri Dibyendu Adhikari ,1,12,
418,Shri Manne Srinivas Reddy ,7,6,
419,Shri Shyam Singh Yadav ,13,0,
420,Smt. Manjulata Mandal ,13,0,
421,Shri Bellana Chandra Sekhar ,13,0,
422,Shri Y. S. Avinash Reddy ,3,10,
424,Shri Venkatesan S. ,12,1,
425,Smt. Mala Roy ,9,4,
426,Shri Deepak Adhikari ,2,11,
427,Dr. G. Ranjith Reddy ,13,0,
428,Shri Haji Fazlur Rehman ,9,4,
429,Shri Shiromani Ram ,13,0,
430,Smt. Pramila Bisoyi ,7,6,
431,Ms. Chandrani Murmu ,12,1,
432,Shri Talari Rangaiah ,13,0,
433,Dr. Ayushman Doctor Sanjeev Kumar ,12,1,
434,Shri Kuruva Gorantla Madhav ,12,1,
435,Shri Selvaraj M. ,12,1,
436,Km. Mimi Chakraborty ,8,5,
438,Ms. Mahua Moitra ,12,1,
439,Shri Bhagwant Mann ,12,1,
440,Shri Venkatesh Netha Borlakunta ,10,3,
442,Smt. Sarmistha Sethi ,13,0,
443,Shri Pocha Brahmananda Reddy ,11,2,
444,Shri M V V Satyanarayana ,13,0,
445,Shri Kanumuru Raghu Ramakrishna Raju ,13,0,
446,Shri Abu Taher Khan ,11,2,
447,Shri Khalilur Rahaman ,11,2,
448,Shri Asit Kumar Mal ,13,0,
449,Dr. T. R. Paarivendhar ,11,2,
450,Shri T.R.V.S. Ramesh ,9,4,
451,Shri S. Ramalingam ,12,1,
452,Dr. M.K. Vishnu Prasad ,12,1,
453,Adv. Dean Kuriakose ,13,0,
454,Shri T. R. Baalu ,11,2,
455,Shri Mulayam Singh Yadav ,8,5,
458,Shri Adhir Ranjan Chowdhury ,12,1,
460,Shri Akhilesh Yadav ,7,6,
461,Smt. K. Kanimozhi ,12,1,
462,Smt. Supriya Sule ,13,0,
463,Shri E. T. Mohammed Basheer ,12,1,
464,Shri A Raja ,10,3,
465,Shri Kodikunnil Suresh ,12,1,
466,Shri Rahul Gandhi ,9,4,
467,Shri K. Muraleedharan ,13,0,
468,Dr. Shashi Tharoor ,13,0,
469,Shri Dayanidhi Maran ,10,3,
470,Shri S. Jagathrakshakan ,2,11,
471,Shri Francisco Sardinha ,13,0,
472,Shri S.S. Palanimanickam ,7,6,
473,Smt. Preneet Kaur ,11,2,
474,Shri N.K. Premachandran ,13,0,
475,Shri Asaduddin Owaisi ,13,0,
476,Shri Vijay Kumar Hansdak ,13,0,
477,Shri Shriniwas Dadasaheb Patil ,12,1,
478,Shri M. K. Raghavan ,11,2,
479,Shri Anto Antony ,13,0,
480,Shri Thirumaavalavan Thol ,8,5,
481,Shri Abu Hasem Khan Choudhury ,10,3,
482,Shri Ravneet Singh Bittu ,12,1,
483,Shri Gaurav Gogoi ,9,4,
484,Shri Badruddin Ajmal ,6,7,
485,Shri D K Suresh ,13,0,
486,Shri Sunil Tatkare Dattatray ,6,7,
487,Shri K Sudhakaran ,4,9,
488,Shri Thomas Chazhikadan ,13,0,
489,Shri Vaithilingam Ve. ,11,2,
490,Shri Manish Tiwari ,12,1,
491,Shri Uttam Kumar Reddy Nalamada ,13,0,
492,Shri Manickam Tagore ,12,1,
493,Shri Su. Thirunavukkarasar ,10,3,
494,Shri Gurjeet Singh Aujla ,11,2,
495,Shri Vincent H Pala ,13,0,
496,Shri Ganeshamurthi A. ,9,4,
497,Shri Santokh Singh Chaudhary ,12,1,
498,Shri Saptagiri Ulaka ,10,3,
499,Shri Mohammad Akbar Lone ,9,4,
500,Shri Amar Singh ,12,1,
501,Dr. Kalanidhi Veeraswamy ,12,1,
502,Shri Mohammed Faizal P.P. ,13,0,
503,Shri Prajwal Revanna ,11,2,
504,Shri Behanan Benny ,12,1,
505,Shri Kuldeep Rai Sharma ,8,5,
506,Dr. Mohammad Jawed ,13,0,
507,Shri Pradyut Bordoloi ,7,6,
508,Shri C.N. Annadurai ,12,1,
509,Dr. Amol Ramsing Kolhe ,11,2,
511,Shri Hibi Eden ,13,0,
512,Smt. Jyotsna Charandas Mahant ,6,7,
513,Shri G. Selvam ,10,3,
515,Shri Deepak Baij ,13,0,
516,Shri Abdul Khaleque ,12,1,
517,Shri Nakul K. Nath ,10,3,
518,Dr. T. Sumathy (A) Thamizhachi Thangapandian ,10,3,
519,Adv. Adoor Prakash ,13,0,
520,Shri V.K. Sreekandan ,13,0,
521,Dr. A. Chellakumar ,4,9,
522,Shri Balubhau @ Suresh Narayan Dhanorkar ,10,3,
523,Dr. Gautham Sigamani Pon ,12,1,
524,Shri Rajmohan Unnithan ,13,0,
525,Shri Shafiqur Rehman Barq ,11,2,
526,Shri K. Navaskani ,12,1,
528,Shri T.N. Prathapan ,13,0,
529,Dr. K. Jayakumar ,12,1,
530,Shri Anumula Revanth Reddy ,10,3,
531,Ms. S. Jothimani ,12,1,
532,Shri D. M. Kathir Anand ,2,11,
534,Dr. S.T. Hasan ,11,2,
535,Ms. Ramya Haridas ,12,1,
536,Smt. Geeta Kora ,10,3,
537,Dr. DNV Senthilkumar. S. ,13,0,
538,Shri Hasnain Masoodi ,9,4,
539,Shri S. Gnanathiraviam ,10,3,
540,Shri Dhanush M Kumar ,13,0,
541,Shri Mohammad Sadique ,12,1,
542,Shri Karti P. Chidambaram ,11,2,
543,Shri Komati Reddy Venkat Reddy ,10,3,
544,Shri Ravikumar D. ,8,5,
545,Shri S.R. Parthiban ,12,1,
546,Shri A.K.P. Chinraj ,8,5,
548,Shri Jasbir Singh Gill ,13,0,
549,Shri K. Shanmuga Sundaram ,12,1,
550,Shri P. Velusamy ,9,4,
551,Shri Sunil Kumar ,12,1,
552,Shri Vijaykumar alias Vijay Vasanth ,12,1,
553,Smt. Mangal Suresh Angadi ,11,2,
554,Shri M. P. Abdussamad Samadani ,13,0,
555,Shri M. Gurumoorthy ,13,0,
