Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register,
3,Shri Amit Shah ,1,36,
5,Shri D.V. Sadananda Gowda ,1,36,
7,Shri Pralhad Joshi ,1,36,
9,Dr. Harsh Vardhan ,1,36,
10,Dr. Mahendra Nath Pandey ,1,36,
14,Shri Arjun Ram Meghwal ,1,36,
15,Dr. Jitendra Singh ,35,2,
18,Shri Danve Raosaheb Patil ,3,34,
22,Dr. Sanjay Jaiswal ,34,3,
24,Shri Ashwini Kumar Choubey ,1,36,
26,Gen. V. K. Singh (Retd.) ,1,36,
28,Shri Nityanand Rai ,1,36,
29,Dr. Sanjeev Balyan ,1,36,
30,Shri G. Kishan Reddy ,5,32,
31,Shri Rakesh Singh ,28,9,
32,Shri Nishikant Dubey ,37,0,
33,Shri Ganesh Singh ,36,1,
34,Dr. Kirit Solanki ,37,0,
35,Shri Uday Pratap Singh ,36,1,
36,Shri Kailash Choudhary ,12,25,
37,Shri Rameswar Teli ,36,1,
38,Shri Som Parkash ,3,34,
39,Shri Pratap Chandra Sarangi ,1,36,
40,Dr. Satya Pal Singh ,37,0,
41,Dr. Mahesh Sharma ,36,1,
42,Shri Rajendra Agrawal ,37,0,
43,Dr. Ram Shankar Katheria ,35,2,
44,Shri Naranbhai Kachhadiya ,37,0,
45,Shri C. R. Patil ,35,2,
46,Shri Lalubhai Patel ,36,1,
47,Shri Shivkumar Udasi ,35,2,
48,Shri Varun Gandhi ,37,0,
49,Shri Nalin Kateel ,37,0,
50,Shri Devji Patel ,35,2,
51,Shri Ajay Tamta ,36,1,
52,Shri Sudarshan Bhagat ,37,0,
53,Shri Rajyavardhan Singh Rathore ,34,3,
54,Shri Jayant Sinha ,37,0,
55,Shri Vishnu Dayal Ram ,37,0,
56,Shri Bhagwant Kubha ,29,8,
57,Shri B. Y. Raghavendra ,30,7,
58,Shri Pratap Simha ,36,1,
59,Shri Subhash Baheria ,37,0,
60,Shri Sunil Kumar Singh ,37,0,
61,Shri Jugal Kishore ,37,0,
62,Shri Ram Swaroop Sharma ,36,1,
63,Shri Bidyut Mahato ,37,0,
64,Shri Vinodbhai Chavda ,34,3,
65,Shri Karadi Sanganna Amarappa ,30,7,
66,Shri Janardan Mishra ,31,6,
67,Shri Rodmal Nagar ,37,0,
68,Shri Ashok Nete ,31,6,
69,Shri Ramdas C. Tadas ,33,4,
70,Shri Sanjay Kaka Patil ,26,11,
71,Shri Kapil Patil ,36,1,
72,Shri Janardan Singh Sigriwal ,37,0,
73,Shri Saumitra Khan ,33,4,
74,Shri Satish Kumar Gautam ,37,0,
75,Shri Guharam Ajgalley ,36,1,
76,Shri Ajay Bhatt ,36,1,
77,Shri Tirath Singh Rawat ,37,0,
