Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register,
78,Shri Ramesh Bidhuri ,36,1,
79,Shri Manoj Tiwari ,36,1,
80,Shri Parvesh Verma ,37,0,
81,Shri Tejasvi Surya ,36,1,
82,Shri Ramesh Dhaduk ,28,9,
83,Shri Parbatbhai Patel ,37,0,
84,Shri Mitesh Patel (Bakabhai) ,37,0,
85,Dr. Mahendrabhai Munjapara ,37,0,
86,Shri Hasmukhbhai S. Patel ,37,0,
87,Shri Bharatsinh Dabhi ,37,0,
88,Dr. Umesh Jadhav ,37,0,
89,Shri S. Muniswamy ,36,1,
90,Shri Raja Amreshwara Naik ,37,0,
91,Shri Y. Devendrappa ,35,2,
92,Shri B. N. Bache Gowda ,28,9,
93,Shri Annasaheb Jolle ,31,6,
94,Shri A. Narayanaswamy ,31,6,
95,Shri Ratan Rathod ,36,1,
96,Dr. Subhas Sarkar ,36,1,
97,Shri Shantanu Thakur ,34,3,
98,Shri Ravi Shankar Prasad ,1,36,
100,Smt. Maneka Sanjay Gandhi ,28,9,
101,Shri Sukhbir Singh Badal ,11,26,
102,Dr. Virendra Kumar ,34,3,
103,Shri Brijbhushan Sharan Singh ,36,1,
105,Shri Suresh Chanabasappa Angadi ,11,26,
106,Shri Sanjay Dhotre ,2,35,
107,Shri Radha Mohan Singh ,36,1,
108,Smt. Hema Malini ,22,15,
109,Shri Mansukhbhai Vasava ,33,4,
110,Shri Srinivas Prasad ,30,7,
111,Shri Sakshi Maharaj ,35,2,
112,Shri Pankaj Choudhary ,36,1,
113,Shri S.S. Ahluwalia ,36,1,
114,Shri Virendra Singh ,35,2,
115,Shri Arvind Sharma ,25,12,
116,Shri P. C. Gaddigoudar ,35,2,
117,Shri Dushyant Singh ,32,5,
118,Shri Rajesh Verma ,34,3,
119,Shri Kirti Vardhan Singh ,30,7,
120,Shri Sushil Kumar Singh ,36,1,
121,Smt. Darshana Vikram Jardosh ,37,0,
122,Smt. Mala Rajya Laxmi Shah ,36,1,
123,Smt. Jaskaur Meena ,33,4,
124,Km. Shobha Karandlaje ,36,1,
125,Smt. Meenakashi Lekhi ,36,1,
126,Smt. Poonamben Maadam ,36,1,
127,Smt. Rita Bahuguna Joshi ,36,1,
128,Smt. Kirron Kher ,36,1,
129,Smt. Ranjanben Bhatt ,34,3,
130,Smt. Rekha Verma ,36,1,
131,Dr. Bharatiben Shyal ,36,1,
132,Dr. (Smt.) Pritam Gopinath Munde ,32,5,
133,Dr. Heena Gavit ,33,4,
134,Smt. Riti Pathak ,36,1,
135,Smt. Navnit Ravi Rana ,26,11,
136,Smt. Raksha Khadse ,29,8,
137,Smt. Aparajita Sarangi ,35,2,
138,Smt. Sumalatha Ambareesh ,27,10,
139,Ms. Locket Chatterjee ,36,1,
140,Smt. Keshari Patel ,35,2,
141,Smt. Ranjeeta Koli ,37,0,
142,Dr. Sanghamitra Maurya ,37,0,
143,Shri Sumedhanand Saraswati ,33,4,
144,Shri Ajay Nishad ,35,2,
145,Shri Pradeep Kumar Singh ,35,2,
146,Shri Gopal Shetty ,37,0,
147,Shri Ramapati Ram Tripathi ,37,0,
148,Shri Subhash Bhamre ,33,4,
149,Shri Dilip Ghosh ,32,5,
150,Shri Kanakmal Katara ,36,1,
151,Shri Rajveer Singh (Raju Bhaiya) ,34,3,
152,Dr. Manoj Rajoria ,36,1,
153,Shri Rahul Kaswan ,36,1,
154,Shri Ramcharan Bohra ,35,2,
155,Shri Sukhbir Singh Jaunpuria ,37,0,
156,Shri Sunny Deol ,9,28,
157,Shri Bhola Singh ,37,0,
158,Shri Devendra Bhole ,35,2,
159,Shri Ajay Kumar ,36,1,
160,Shri Arjun Lal Meena ,35,2,
161,Dr. Chandrasen Jadon ,33,4,
162,Shri Jyotirmay Singh Mahato ,37,0,
163,Shri Nisith Pramanik ,37,0,
164,Shri John Barla ,37,0,
165,Dr. Jayanta Kumar Roy ,36,1,
166,Dr. Sukanta Majumdar ,36,1,
167,Shri Jagannath Sarkar ,35,2,
168,Shri Arjun Singh ,36,1,
169,Shri Kunar Hembram ,37,0,
170,Shri Dhal Singh Bisen ,37,0,
171,Shri Raju Bista ,37,0,
172,Shri Khagen Murmu ,36,1,
173,Shri Ravindra Shyamnarayan Shukla alias Ravi Kishan ,31,6,
174,Shri Vijay Kumar Dubey ,33,4,
175,Shri Bholanath (B.P. Saroj) ,37,0,
176,Shri Upendra Rawat ,37,0,
177,Shri Satyadev Pachauri ,36,1,
178,Shri Sangam Lal Gupta ,36,1,
179,Shri Ramesh Chand ,36,1,
180,Shri Rebati Tripura ,36,1,
181,Shri Bandi Sanjay Kumar ,36,1,
182,Shri Rajkumar Chahar ,33,4,
183,Shri Praveen Nishad ,33,4,
184,Shri Pradeep Kumar ,37,0,
185,Shri Jai Prakash Rawat ,34,3,
186,Sadhvi Pragya Singh Thakur ,36,1,
191,Shri Shripad Yesso Naik ,1,36,
193,Smt. Debasree Chaudhuri ,2,35,
194,Smt. Renuka Singh Saruta ,1,36,
195,Smt. Sangeeta Singh Deo ,36,1,
196,Smt. Poonam Mahajan ,32,5,
197,Shri Ram Kripal Yadav ,36,1,
198,Shri Jual Oram ,37,0,
199,Prof. S.P. Singh Baghel ,36,1,
200,Shri Ramesh Jigajinagi ,36,1,
201,Shri Bhanu Pratap Singh Verma ,36,1,
202,Shri Nand Kumar Singh Chauhan ,34,3,
203,Smt. Rama Devi ,36,1,
204,Shri G.M. Siddeshwara ,35,2,
205,Shri Nihal Chand ,30,7,
206,Shri Pashupati Nath Singh ,37,0,
207,Shri G. S. Basavaraj ,33,4,
208,Shri Chhedi Paswan ,36,1,
209,Shri Jagdambika Pal ,37,0,
210,Shri Dharambir Singh ,36,1,
211,Shri Vinod Sonkar ,37,0,
212,Shri C. P. Joshi ,36,1,
213,Shri Pradhan Baruah ,33,4,
214,Shri Ramesh Kaushik ,37,0,
215,Shri Jaswantsinh Bhabhor ,37,0,
216,Shri Mohanbhai Kundariya ,34,3,
217,Shri Sudhir Gupta ,37,0,
218,Ms. Pratima Bhoumik ,37,0,
219,Smt. Diya Kumari ,37,0,
220,Smt. Queen Oja ,36,1,
221,Smt. Gomati Sai ,37,0,
222,Smt. Annpurna Devi ,35,2,
223,Smt. Gitaben Rathva ,37,0,
224,Smt. Shardaben Patel ,37,0,
225,Smt. Sunita Duggal ,37,0,
227,Smt. Sandhya Ray ,36,1,
228,Dr. Bharti Pawar ,36,1,
229,Shri Devusinh Chauhan ,35,2,
230,Shri Dipsinh S. Rathod ,37,0,
231,Shri K. C. Patel ,34,3,
232,Shri Rajesh Chudasama ,18,19,
233,Shri Dharmendra Kashyap ,34,3,
234,Shri Harish Chandra alias Harish Dwivedi ,36,1,
235,Shri Lallu Singh ,35,2,
236,Shri Mukesh Rajput ,35,2,
237,Shri Pushpendra Singh Chandel ,36,1,
238,Shri Rajvir Diler ,37,0,
239,Shri Ravindra Kushwaha ,37,0,
240,Shri Ashok Rawat ,37,0,
241,Shri Arun Kumar Sagar ,33,4,
242,Shri Anurag Sharma ,36,1,
243,Shri Akshaibar Lal ,34,3,
244,Shri Gautam Gambhir ,25,12,
245,Shri Hans Raj Hans ,32,5,
246,Shri Soyam Babu Rao ,32,5,
247,Shri D. Arvind ,34,3,
248,Shri R.K. Singh Patel ,35,2,
249,Shri Shankar Lalwani ,36,1,
250,Shri Ramakant Bhargava ,35,2,
251,Shri Raj Bahadur Singh ,37,0,
252,Shri Mahendra Solanky ,37,0,
253,"Shri Krishna Pal Singh ""Dr. K.P. Yadav"" ",37,0,
254,Shri G.S. Damor ,37,0,
255,Shri Gajendra Patel ,36,1,
256,Shri Durga Das (D.D.) Uikey ,36,1,
257,Shri Chhatar Singh Darbar ,24,13,
258,Shri Vishnu Datt Sharma ,36,1,
259,Shri Anil Firojiya ,34,3,
260,Shri Vivek Shejwalkar ,35,2,
261,Shri Sunil Baburao Mendhe ,34,3,
262,Shri Sujay Vikhe Patil ,32,5,
263,Shri Sudhakar Tukaram Shrangare ,34,3,
264,Shri Ranjeetsinha H. Naiknimbalkar ,19,18,
265,Shri Prataprao Patil ,15,22,
266,Shri Manoj Kotak ,37,0,
267,Dr. Jai Siddeshwar Shivachary ,35,2,
268,Shri Girish Bapat ,35,2,
269,Shri Unmesh Patil ,25,12,
270,Shri Vijay Baghel ,36,1,
271,Shri Sunil Kumar Soni ,37,0,
272,Shri Pallab Lochan Das ,37,0,
273,Shri Topon Kumar Gogoi ,36,1,
274,Shri Rajdeep Roy ,37,0,
275,Shri Santosh Pandey ,36,1,
276,Smt. Harsimrat Kaur Badal ,2,35,
277,Shri Rajiv Ranjan Singh @ Lalan Singh ,36,1,
278,Shri Dinesh Chandra Yadav ,33,4,
279,Shri Vinayak Raut ,35,2,
280,Shri Arvind Sawant ,9,28,
281,Shri Rajiv Pratap Rudy ,35,2,
282,Shri Anant Hegde ,33,4,
283,Shri Kaushalendra Kumar ,37,0,
284,Shri Gajanan Kirtikar ,29,8,
285,Shri Chirag Paswan ,26,11,
286,Shri P.P. Chaudhary ,35,2,
287,Shri P. C. Mohan ,37,0,
288,Smt. Bhavana Gawali ,12,25,
289,Ms. Agatha K. Sangma ,35,2,
290,Smt. Anupriya Patel ,34,3,
291,Shri Mohan S. Delkar ,30,7,
292,Shri Tapir Gao ,37,0,
293,Shri Kaushal Kishore ,36,1,
294,Shri Parbhubhai Vasava ,36,1,
295,Shri Kamlesh Paswan ,35,2,
297,Shri Tokheho Yepthomi ,34,3,
298,Shri P. Ravindhranath ,35,2,
299,Shri Prataprao Jadhav ,28,9,
300,Shri C. Lalrosanga ,34,3,
301,Shri Hanuman Beniwal ,34,3,
302,Shri Pashupati Kumar Paras ,23,14,
303,Shri Chandra Prakash Choudhary ,37,0,
304,Shri Indra Hang Subba ,37,0,
305,Shri Giridhari Yadav ,28,9,
306,Shri Rajan Vichare ,34,3,
307,Shri Sanjay Jadhav ,12,25,
308,Shri Chandan Singh ,31,6,
309,Shri Rahul Shewale ,35,2,
310,Shri Shreerang Appa Chandu Barne ,36,1,
311,Dr. Shrikant Shinde ,35,2,
312,Shri Krupal Balaji Tumane ,36,1,
313,Shri Hemant Godse ,35,2,
314,Shri Sanjay Bhatia ,35,2,
314,Shri Baidyanath Prasad Mahto ,31,6,
315,Shri Mahabali Singh ,36,1,
316,Shri Santosh Kumar ,28,9,
317,Shri Dileshwar Kamait ,36,1,
318,Shri Lorho S. Pfoze ,37,0,
319,Shri Balak Nath ,30,7,
320,Shri Bhagirath Chaudhary ,37,0,
321,Shri Nitesh Ganga Deb ,37,0,
322,Shri Bishweswar Tudu ,37,0,
323,Shri Pakauri Lal Kaul ,33,4,
324,Smt. Kavita Singh ,36,1,
325,Shri Dulal Chandra Goswami ,34,3,
326,Shri Rajendra Gavit ,29,8,
327,Shri Sadashiv Lokhande ,16,21,
328,Shri Om Prakash B. alias Pawan Rajenimbalkar ,32,5,
329,Shri Brijendra Singh ,37,0,
330,Shri Mohan Mandavi ,37,0,
331,Shri Chunnilal Sahu ,36,1,
332,Shri Arun Sao ,37,0,
333,Shri Sanjay Seth ,37,0,
334,Shri Jamyang Tsering Namgyal ,34,3,
335,Shri Suresh Kashyap ,37,0,
336,Shri Alok Kumar Suman ,37,0,
337,Shri Ramprit Mandal ,37,0,
338,Shri Horen Sing Bey ,34,3,
339,Shri Kripanath Mallah ,32,5,
340,Shri Ashok Kumar Yadav ,35,2,
341,Shri Gopal Ji Thakur ,36,1,
342,Shri Kishan Kapoor ,37,0,
344,Shri Nayab Singh ,35,2,
345,Shri Basanta Kumar Panda ,37,0,
346,Dr. Rajkumar Ranjan Singh ,32,5,
347,Shri Sunil Soren ,35,2,
348,Shri Suresh Pujari ,36,1,
349,Shri Sanjay Mandlik ,20,17,
350,Shri Sunil Kumar Pintu ,31,6,
351,Smt. Veena Devi ,35,2,
352,Shri Subrata Pathak ,36,1,
353,Shri Dilip Saikia ,37,0,
354,Shri Narendra Kumar ,36,1,
355,Shri Dhairyasheel S. Mane ,34,3,
356,Shri Chandeshwar Prasad ,32,5,
357,Shri Vijay Kumar Manjhi ,35,2,
358,Shri Ajay Kumar Mandal ,12,25,
359,Shri Hemant Patil ,30,7,
360,Shri Choudhary Mehboob Ali Kaiser ,30,7,
363,Shri Naba Kumar Sarania ,33,4,
364,Shri Imtiaz Jaleel Syed ,31,6,
365,Shri P.V. Midhun Reddy ,29,8,
366,Shri Sudip Bandyopadhyay ,35,2,
367,Shri Pinaki Misra ,33,4,
368,Shri Magunta Sreenivasulu Reddy ,26,11,
369,Shri Kalyan Banerjee ,28,9,
370,Shri Nama Nageswara Rao ,35,2,
371,Shri Ritesh Pandey ,31,6,
372,Shri Bhartruhari Mahtab ,36,1,
373,Shri Balashowry Vallabbhaneni ,33,4,
374,Prof. Saugata Roy ,33,4,
375,Shri Jayadev Galla ,36,1,
376,Shri Kotha Prabhakar Reddy ,21,16,
377,Shri Girish Chandra ,36,1,
378,Shri Chandra Sekhar Sahu ,34,3,
379,Shri Margani Bharat ,34,3,
380,Shri Abhishek Banerjee ,6,31,
381,Shri B. B. Patil ,29,8,
382,Shri Malook Nagar ,33,4,
383,Shri Achyutananda Samanta ,32,5,
384,Smt. Vanga Geetha Viswanath ,34,3,
385,Shri Kotagiri Sridhar ,32,5,
386,Dr. Kakoli Ghosh Dastidar ,28,9,
387,Shri Sisir Adhikari ,23,14,
388,Shri K. Ram Mohan Naidu ,35,2,
389,Shri Pothuganti Ramulu ,34,3,
390,Shri Afzal Ansari ,32,5,
391,Shri Anubhav Mohanty ,23,14,
392,Shri Nandigam Suresh ,18,19,
393,Shri Adala Prabhakara Reddy ,31,6,
394,Shri Choudhury Mohan Jatua ,25,12,
395,Smt. Satabdi Roy ,29,8,
396,Shri Dayakar Pasunoori ,24,13,
397,Shri Kesineni Srinivas ,36,1,
398,Shri Kunwar Danish Ali ,36,1,
399,Shri Ramesh Chandra Majhi ,35,2,
400,Shri Mahesh Sahoo ,36,1,
401,Shri Balli Durga Prasad Rao ,36,1,
402,Shri N. Reddeppa ,34,3,
403,Shri Lavu Sri Krishna Devarayalu ,33,4,
404,Shri Prasun Banerjee ,30,7,
405,Smt. Pratima Mondal ,27,10,
406,Smt. Sajda Ahmed ,23,14,
407,Smt. Kavitha Malothu ,24,13,
408,Smt. Sangeeta Azad ,32,5,
409,Smt. Rajashree Mallick ,17,20,
410,Dr. Beesetti Venkata Satyavathi ,37,0,
411,Ms. Goddeti Madhavi ,35,2,
412,Smt. Chinta Anuradha ,31,6,
413,Shri P.R. Natarajan ,37,0,
414,Adv. A. M. Ariff ,36,1,
415,Shri Sunil Kumar Mondal ,35,2,
416,Smt. Aparupa Poddar (Afrin Ali) ,35,2,
417,Shri Dibyendu Adhikari ,23,14,
418,Shri Manne Srinivas Reddy ,22,15,
419,Shri Shyam Singh Yadav ,35,2,
420,Smt. Manjulata Mandal ,30,7,
421,Shri Bellana Chandra Sekhar ,27,10,
422,Shri Y. S. Avinash Reddy ,17,20,
423,Shri Subbarayan K. ,26,11,
424,Shri Venkatesan S. ,27,10,
425,Smt. Mala Roy ,29,8,
426,Shri Deepak Adhikari ,6,31,
427,Dr. G. Ranjith Reddy ,31,6,
428,Shri Haji Fazlur Rehman ,29,8,
429,Shri Shiromani Ram ,36,1,
430,Smt. Pramila Bisoyi ,37,0,
431,Ms. Chandrani Murmu ,32,5,
432,Shri Talari Rangaiah ,37,0,
433,Dr. Ayushman Doctor Sanjeev Kumar ,37,0,
434,Shri Kuruva Gorantla Madhav ,33,4,
435,Shri Selvaraj M. ,29,8,
436,Km. Mimi Chakraborty ,11,26,
437,Smt. Nusrat Jahan Ruhi ,9,28,
438,Ms. Mahua Moitra ,37,0,
439,Shri Bhagwant Mann ,14,23,
440,Shri Venkatesh Netha Borlakunta ,25,12,
442,Smt. Sarmistha Sethi ,32,5,
443,Shri Pocha Brahmananda Reddy ,31,6,
444,Shri M V V Satyanarayana ,27,10,
445,Shri Kanumuru Raghu Ramakrishna Raju ,35,2,
446,Shri Abu Taher Khan ,30,7,
447,Shri Khalilur Rahaman ,30,7,
448,Shri Asit Kumar Mal ,33,4,
449,Dr. T. R. Paarivendhar ,30,7,
450,Shri T.R.V.S. Ramesh ,32,5,
451,Shri S. Ramalingam ,36,1,
452,Dr. M.K. Vishnu Prasad ,33,4,
453,Adv. Dean Kuriakose ,35,2,
454,Shri T. R. Baalu ,32,5,
455,Shri Mulayam Singh Yadav ,21,16,
456,Shri Farooq Abdullah ,27,10,
457,Smt. Sonia Gandhi ,29,8,
458,Shri Adhir Ranjan Chowdhury ,36,1,
460,Shri Akhilesh Yadav ,13,24,
461,Smt. K. Kanimozhi ,35,2,
462,Smt. Supriya Sule ,36,1,
463,Shri P.K. Kunhalikutty ,28,9,
463,Shri E. T. Mohammed Basheer ,33,4,
464,Shri A Raja ,34,3,
465,Shri Kodikunnil Suresh ,36,1,
466,Shri Rahul Gandhi ,21,16,
467,Shri K. Muraleedharan ,37,0,
468,Dr. Shashi Tharoor ,35,2,
469,Shri Dayanidhi Maran ,28,9,
470,Shri S. Jagathrakshakan ,14,23,
471,Shri Francisco Sardinha ,35,2,
472,Shri S.S. Palanimanickam ,24,13,
473,Smt. Preneet Kaur ,31,6,
474,Shri N.K. Premachandran ,35,2,
475,Shri Asaduddin Owaisi ,33,4,
476,Shri Vijay Kumar Hansdak ,27,10,
478,Shri M. K. Raghavan ,37,0,
479,Shri Anto Antony ,31,6,
480,Shri Thirumaavalavan Thol ,35,2,
481,Shri Abu Hasem Khan Choudhury ,26,11,
482,Shri Ravneet Singh Bittu ,36,1,
483,Shri Gaurav Gogoi ,30,7,
484,Shri Badruddin Ajmal ,18,19,
485,Shri D K Suresh ,26,11,
486,Shri Sunil Tatkare Dattatray ,36,1,
487,Shri K Sudhakaran ,31,6,
488,Shri Thomas Chazhikadan ,30,7,
489,Shri Vaithilingam Ve. ,25,12,
490,Shri Manish Tiwari ,33,4,
491,Shri Uttam Kumar Reddy Nalamada ,33,4,
492,Shri Manickam Tagore ,34,3,
493,Shri Su. Thirunavukkarasar ,23,14,
494,Shri Gurjeet Singh Aujla ,35,2,
495,Shri Vincent H Pala ,32,5,
496,Shri Ganeshamurthi A. ,36,1,
497,Shri Santokh Singh Chaudhary ,37,0,
498,Shri Saptagiri Ulaka ,36,1,
499,Shri Mohammad Akbar Lone ,23,14,
500,Shri Amar Singh ,37,0,
501,Dr. Kalanidhi Veeraswamy ,25,12,
502,Shri Mohammed Faizal P.P. ,25,12,
503,Shri Prajwal Revanna ,17,20,
504,Shri Behanan Benny ,35,2,
505,Shri Kuldeep Rai Sharma ,29,8,
506,Dr. Mohammad Jawed ,36,1,
507,Shri Pradyut Bordoloi ,37,0,
508,Shri C.N. Annadurai ,25,12,
509,Dr. Amol Ramsing Kolhe ,19,18,
511,Shri Hibi Eden ,31,6,
512,Smt. Jyotsna Charandas Mahant ,31,6,
513,Shri G. Selvam ,30,7,
514,Shri Mohammad Azam Khan ,32,5,
515,Shri Deepak Baij ,33,4,
516,Shri Abdul Khaleque ,37,0,
517,Shri Nakul K. Nath ,28,9,
518,Dr. T. Sumathy (A) Thamizhachi Thangapandian ,35,2,
519,Adv. Adoor Prakash ,34,3,
520,Shri V.K. Sreekandan ,37,0,
521,Dr. A. Chellakumar ,26,11,
522,Shri Balubhau @ Suresh Narayan Dhanorkar ,25,12,
523,Dr. Gautham Sigamani Pon ,37,0,
524,Shri Rajmohan Unnithan ,34,3,
524,Shri Udayanraje Pratapsingh Bhonsle ,6,31,
525,Shri Shafiqur Rehman Barq ,37,0,
526,Shri K. Navaskani ,27,10,
528,Shri T.N. Prathapan ,35,2,
529,Dr. K. Jayakumar ,35,2,
530,Shri Anumula Revanth Reddy ,20,17,
531,Ms. S. Jothimani ,34,3,
533,Shri H. Vasanthakumar ,33,4,
534,Dr. S.T. Hasan ,31,6,
535,Ms. Ramya Haridas ,31,6,
536,Smt. Geeta Kora ,30,7,
537,Dr. DNV Senthilkumar. S. ,37,0,
538,Shri Hasnain Masoodi ,36,1,
539,Shri S. Gnanathiraviam ,32,5,
540,Shri Dhanush M Kumar ,37,0,
541,Shri Mohammad Sadique ,31,6,
542,Shri Karti P. Chidambaram ,30,7,
543,Shri Komati Reddy Venkat Reddy ,30,7,
544,Shri Ravikumar D. ,36,1,
545,Shri S.R. Parthiban ,34,3,
546,Shri A.K.P. Chinraj ,28,9,
548,Shri Jasbir Singh Gill ,34,3,
549,Shri K. Shanmuga Sundaram ,37,0,
550,Shri P. Velusamy ,37,0,
552,Shri Ramchandra Paswan ,19,8,
